ID,CL,VC,VMAX,KM,KA
57,0,79.7313,1.38093,0.276636,0.810806
58,0,88.105,0.875057,0.302886,0.690201
59,0,78.8281,0.924127,0.14903,0.938682
60,0,63.1488,1.31883,0.138088,0.946429
61,0,76.1259,0.86015,0.370891,1.5503
62,0,87.6127,1.11572,0.424149,0.901778
63,0,67.0054,1.1197,0.33304,0.850112
64,0,59.2141,1.12101,0.245988,1.69612
65,0,97.4778,1.03797,0.204624,0.969621
66,0,80.3077,0.976386,0.143387,1.36282
67,0,51.3207,1.03934,0.137698,1.43936
68,0,58.426,0.713233,0.168138,0.519575
69,0,79.1294,0.321138,0.162058,0.908925
70,0,52.0071,0.963479,0.305596,0.716034
71,0,112.647,0.546621,0.191443,1.2713
72,0,78.6349,0.810735,0.231793,0.910045
73,0,48.0401,0.58153,0.296385,1.27551
74,0,57.9801,1.40076,0.323975,0.519268
75,0,45.4935,0.602021,0.381063,1.11497
76,0,38.7797,0.782018,0.198519,0.663203
77,0,26.5086,1.6935,0.204287,0.643024
78,0,52.6592,0.599566,0.271645,0.646357
79,0,83.4491,1.23233,0.178924,1.30413
80,0,55.201,0.980492,0.207288,1.2761
81,0,77.3313,0.935961,0.221755,0.993522
82,0,68.0824,1.30154,0.372185,1.03154
83,0,90.6663,1.48016,0.19637,0.839364
84,0,53.2162,0.605405,0.391711,0.913491
85,0,81.464,0.975851,0.271044,1.1805
86,0,79.0278,1.68298,0.230196,1.24274
87,0,43.7096,1.22837,0.278041,1.14512
88,0,66.0853,1.3032300000000001,0.317103,1.50968
89,0,121.009,0.825688,0.280285,0.739691
90,0,74.6407,0.982887,0.372595,1.63291
91,0,48.5256,1.28571,0.407632,0.777813
92,0,65.5499,0.920273,0.222537,0.550852
93,0,50.8911,0.775711,0.178585,1.00786
94,0,89.1118,0.923702,0.331789,1.36984
95,0,57.1767,0.814717,0.301488,0.838486
96,0,43.4821,0.665508,0.25716,1.14729
97,0,97.4393,1.29266,0.387266,1.00292
98,0,130.042,0.672493,0.27821,0.755209
99,0,64.3657,1.83773,0.30993,0.849971
100,0,45.8125,0.914908,0.133966,0.550658
101,0,56.7415,1.17131,0.272838,1.37617
102,0,52.99,1.23679,0.190637,0.97875
103,0,87.0635,0.825165,0.312562,1.07215
104,0,54.0725,0.864659,0.234333,0.999875
105,0,86.5387,0.705236,0.253257,1.20888
106,0,71.4775,0.735637,0.336879,0.987474
107,0,72.9073,1.16363,0.251919,1.45392
108,0,86.73,0.992664,0.406998,0.806707
109,0,50.478,1.34703,0.204048,1.00609
110,0,86.0958,0.854853,0.419226,0.742493
111,0,74.9204,0.638752,0.504726,0.817877
112,0,51.3234,0.985786,0.384114,1.31168
113,0,58.8136,0.731217,0.133947,1.42628
114,0,87.4225,0.97906,0.185786,1.0328
115,0,62.8967,0.634133,0.251967,0.557756
116,0,68.5344,0.740082,0.194712,1.15777
117,0,85.7729,0.904274,0.244421,0.822174
118,0,89.5991,1.15458,0.258188,1.0258
119,0,110.475,0.894249,0.320424,0.958315
120,0,93.384,0.671332,0.232897,1.18634
