ID,CL,VC,VMAX,KM,KA
43,0,91.1574,1.02398,0.196703,0.913164
44,0,65.4348,0.999143,0.206684,0.574601
45,0,78.3529,0.688465,0.294738,0.816548
46,0,66.3817,0.526874,0.343232,1.74935
47,0,84.7065,1.32612,0.209151,0.974095
48,0,89.4964,1.20977,0.237214,0.956003
49,0,59.6857,0.819144,0.288316,1.02038
50,0,82.153,1.28493,0.24845,0.639415
51,0,81.0581,0.554359,0.283485,0.91965
52,0,49.1014,1.29011,0.285966,1.47327
53,0,56.9205,1.62312,0.417246,1.11571
54,0,63.1142,1.3042,0.252772,0.710817
55,0,71.9731,1.28934,0.25705,0.893284
56,0,66.7733,1.64897,0.338358,0.879977
57,0,37.7643,1.02714,0.150729,1.1224
58,0,50.3689,1.03925,0.139183,1.07643
59,0,72.7091,0.85482,0.227521,1.00899
60,0,92.4,0.78137,0.238668,0.558657
61,0,67.2674,0.886214,0.327187,0.978617
62,0,40.2221,1.48541,0.254262,0.836525
63,0,99.9538,0.923154,0.264084,0.630545
64,0,85.4972,0.895719,0.340915,0.705249
65,0,67.6509,1.28757,0.339789,0.589639
66,0,57.4821,1.23833,0.257673,1.00019
67,0,96.6489,0.85169,0.234739,0.848888
68,0,63.8752,1.31936,0.333831,1.16417
69,0,72.7984,1.47617,0.271109,1.22557
70,0,45.6657,1.51145,0.210555,0.732154
71,0,46.3356,0.962104,0.176349,0.945577
72,0,46.7458,1.67353,0.337944,0.569534
73,0,73.3977,0.723192,0.21255,1.70293
74,0,116.87,0.962856,0.25641,0.972381
75,0,90.0237,0.999624,0.234618,1.03619
76,0,87.3379,0.982484,0.242768,0.580582
77,0,54.791,1.89314,0.165533,1.41088
78,0,80.4782,0.852921,0.185814,1.06229
79,0,55.639,1.12256,0.361157,0.897448
80,0,50.9156,0.698419,0.252256,1.05767
81,0,63.716,0.93327,0.167277,0.672941
82,0,64.1869,1.49237,0.376664,1.12696
83,0,66.5932,0.694864,0.365955,1.33309
84,0,100.772,0.771191,0.370935,0.947318
85,0,57.8595,0.884748,0.283914,1.04206
86,0,58.7455,0.711955,0.191121,0.666612
87,0,56.3503,1.7362,0.245215,0.868653
88,0,52.5683,0.751665,0.225188,0.868904
89,0,46.082,1.42563,0.268934,1.07633
90,0,41.3671,0.893609,0.302077,1.12103
91,0,55.6182,0.783533,0.268829,1.21473
92,0,49.5807,0.817315,0.271627,1.16816
93,0,69.8386,1.13131,0.208844,0.934566
94,0,74.6252,1.5446,0.196422,0.781425
95,0,50.5013,0.830085,0.254442,1.01567
96,0,62.5538,0.61644,0.247212,1.72072
97,0,46.8185,1.36602,0.268702,0.792203
98,0,72.8945,1.2675,0.229045,0.686682
99,0,73.7367,1.59174,0.215184,0.711824
100,0,118.385,1.04829,0.475084,1.19662
101,0,92.5705,0.937557,0.134468,0.954804
102,0,75.6655,0.934232,0.335423,1.39356
103,0,77.3813,0.595116,0.231064,1.4969
104,0,149.656,1.10497,0.148081,0.698202
105,0,70.1349,1.29216,0.237479,1.07617
106,0,36.1,1.04709,0.426779,0.879725
107,0,114.061,0.718827,0.281785,1.43133
108,0,96.8518,0.85531,0.231934,1.20375
109,0,57.3954,1.29295,0.360121,1.26253
110,0,80.9736,1.02805,0.24991,1.8383
111,0,47.6824,1.08965,0.273761,0.694823
112,0,89.9165,1.72854,0.226104,0.91135
113,0,111.077,1.49763,0.203157,1.30416
114,0,55.1478,0.883214,0.208797,1.4888
115,0,58.508,1.60369,0.369272,0.569472
116,0,34.1976,0.790506,0.140596,1.04574
117,0,128.96,2.29551,0.562922,1.55217
118,0,45.1088,0.885268,0.231809,1.15913
119,0,63.2753,1.60004,0.29568,0.666023
120,0,64.9013,0.869723,0.282354,0.774662
