ID,CL,VC,VMAX,KM,KA
42,0,80.2603,0.86213,0.381135,1.02556
43,0,81.216,1.06926,0.177073,1.11025
44,0,89.0427,1.21193,0.246198,0.904035
45,0,114.899,1.11418,0.252752,1.43508
46,0,72.6847,0.845562,0.297319,1.50539
47,0,62.8022,0.757972,0.255473,0.997256
48,0,73.0542,1.17892,0.241178,0.863928
49,0,59.3809,0.929299,0.299402,0.782421
50,0,96.4455,1.3903,0.201903,1.31368
51,0,84.748,0.835803,0.21161,1.06846
52,0,100.307,1.05402,0.219518,1.36447
53,0,68.4814,1.00151,0.308033,0.649032
54,0,43.3948,1.18202,0.30566,0.892429
55,0,51.1493,1.09819,0.241418,0.621565
56,0,66.2499,1.00768,0.215972,1.37805
57,0,50.994,0.683425,0.279147,0.804852
58,0,73.3493,1.10984,0.15448,0.844615
59,0,106.272,0.983777,0.236496,0.741073
60,0,72.7889,1.15205,0.282585,1.1205
61,0,47.4467,0.707018,0.442695,0.732082
62,0,126.077,0.385679,0.293579,1.20562
63,0,40.5162,0.665119,0.160162,1.79439
64,0,54.6455,1.21935,0.249997,0.794039
65,0,55.6498,0.828943,0.276994,1.20981
66,0,75.7163,0.89793,0.442162,0.533595
67,0,47.7523,0.76473,0.219479,0.715886
68,0,81.2862,0.637352,0.29572,0.998531
69,0,78.4902,0.932022,0.19903,1.32146
70,0,89.156,0.725813,0.269308,1.25755
71,0,54.4958,1.30864,0.288941,1.0213699999999999
72,0,58.3644,1.27688,0.273047,0.868714
73,0,79.1352,0.878061,0.187024,0.749423
74,0,53.2604,1.34739,0.153873,0.891051
75,0,39.9589,1.41834,0.168176,1.15793
76,0,111.095,0.780146,0.192435,1.14195
77,0,45.8181,1.90511,0.323901,0.988708
78,0,86.7583,1.49855,0.278451,1.22033
79,0,110.19,1.04214,0.332911,0.985829
80,0,60.0581,0.866662,0.221331,0.554771
81,0,87.3476,0.995113,0.19461,0.991212
82,0,55.4575,1.05683,0.551648,0.878341
83,0,82.1414,0.972216,0.198249,1.0487899999999999
84,0,88.3398,0.763029,0.156833,1.07251
85,0,53.3839,1.01191,0.365381,1.74549
86,0,59.2948,1.05688,0.233561,1.12793
87,0,91.1662,0.600704,0.250997,0.943237
88,0,59.7147,1.63673,0.376904,0.946052
89,0,76.0948,1.83962,0.216258,0.704635
90,0,63.8801,1.24105,0.241093,0.842121
91,0,108.347,0.721151,0.141717,0.728037
92,0,105.489,1.33878,0.310262,1.49525
93,0,77.3555,1.05451,0.272085,0.885557
94,0,98.3013,0.732683,0.393529,1.18078
95,0,80.6014,0.875061,0.248561,1.38929
96,0,102.128,1.0255,0.203361,0.729754
97,0,53.6097,1.17534,0.191184,0.90799
98,0,105.927,0.8468,0.319987,0.917202
99,0,56.9491,1.44021,0.273807,1.31072
100,0,84.7656,1.29372,0.279162,0.81432
101,0,46.7322,1.11104,0.188527,1.03979
102,0,97.0403,0.767039,0.308676,1.26769
103,0,84.9214,1.14214,0.243566,0.90379
104,0,110.559,0.955367,0.223675,0.987157
105,0,53.4173,0.915694,0.292435,1.04474
106,0,81.2936,1.29494,0.184975,0.711654
107,0,107.015,1.46856,0.216654,0.77067
108,0,107.729,0.867041,0.169428,1.21074
109,0,87.012,0.869982,0.350796,0.843445
110,0,80.3345,0.810635,0.32275,1.30216
111,0,58.0384,0.626097,0.167377,1.3978
112,0,51.0095,0.937572,0.154405,1.50489
113,0,79.4622,1.71183,0.284414,1.08627
114,0,73.5168,1.39398,0.246931,0.90675
115,0,74.2958,1.56928,0.233369,1.17054
116,0,42.3728,1.22336,0.293275,1.28003
117,0,39.9099,1.41572,0.22429,1.04814
118,0,98.2156,1.02564,0.237539,1.12866
119,0,75.8375,1.06927,0.192682,1.07566
120,0,54.932,1.0022200000000001,0.275231,1.09835
