TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma_p,.chain,.iteration,.draw
4.02389,68.7988,3.62605,50.4306,0.3026,0.248123,0.410233,0.306132,0.201965,1,133,133
3.98988,70.91,3.32857,55.0793,0.281348,0.298121,0.356366,0.349771,0.200903,1,134,134
4.1186,70.2713,3.6281,54.8119,0.285407,0.292717,0.302314,0.32703,0.201601,1,135,135
4.09091,69.4762,3.64899,52.0279,0.276381,0.269964,0.279265,0.337284,0.198292,1,136,136
4.08338,70.2248,3.93338,51.5752,0.274094,0.264621,0.280816,0.316286,0.202931,1,137,137
4.10985,69.5401,4.02591,49.432,0.272326,0.273122,0.30187,0.343461,0.200958,1,138,138
4.05261,71.6807,3.23057,51.5743,0.280204,0.31167,0.318584,0.389106,0.202098,1,139,139
4.08354,73.2065,3.63846,52.7704,0.298927,0.313658,0.33348,0.330739,0.201307,1,140,140
4.05023,72.6446,3.64536,50.7767,0.323719,0.307758,0.339953,0.314559,0.204026,1,141,141
4.1617,73.5119,3.65861,52.901,0.323664,0.30297,0.279683,0.348516,0.201225,1,142,142
4.14799,71.5418,3.3489,49.5843,0.311611,0.267581,0.245233,0.328282,0.199678,1,143,143
4.1547,71.5301,3.82956,47.8495,0.304454,0.290712,0.253159,0.321984,0.204486,1,144,144
4.19815,69.0679,3.51404,51.5346,0.316213,0.278016,0.328373,0.364658,0.200468,1,145,145
4.19923,69.4811,3.48222,50.9618,0.319803,0.297406,0.341195,0.333462,0.201206,1,146,146
4.22122,69.2956,3.72259,50.3782,0.328312,0.272321,0.480516,0.300583,0.204866,1,147,147
4.25628,68.8851,3.45375,52.4145,0.32443,0.262442,0.31726,0.3256,0.198392,1,148,148
4.25508,68.9081,3.58512,53.2925,0.316341,0.267536,0.356394,0.267826,0.201629,1,149,149
4.30018,66.9338,3.90942,52.9671,0.31476,0.278584,0.374359,0.349286,0.20086,1,150,150
4.3254,65.7358,4.14746,50.8239,0.292708,0.28307,0.295739,0.318119,0.201159,1,151,151
4.33563,66.4774,4.07061,54.0516,0.314198,0.294109,0.2429,0.265596,0.200736,1,152,152
4.38305,67.5425,3.70006,52.9785,0.309097,0.255819,0.304181,0.357878,0.202377,1,153,153
4.30401,65.4357,4.17481,50.5496,0.304292,0.267933,0.294852,0.281105,0.198203,1,154,154
4.26131,64.7209,3.77148,53.5667,0.301596,0.268497,0.302368,0.284704,0.205021,1,155,155
4.23978,68.3925,3.73164,50.5415,0.313462,0.26979,0.254332,0.302827,0.198456,1,156,156
4.25835,64.6869,4.00329,52.684,0.285832,0.280775,0.307045,0.267506,0.205985,1,157,157
4.1652,64.7728,3.8113,51.4877,0.288914,0.260605,0.256938,0.317934,0.203698,1,158,158
4.19966,64.1907,3.74355,50.8777,0.282204,0.27678,0.18269,0.33347,0.201764,1,159,159
4.18604,63.495,3.69308,52.2084,0.2875,0.277044,0.163975,0.276153,0.200954,1,160,160
4.19084,63.5379,3.70225,50.2024,0.279007,0.280345,0.129427,0.304796,0.202836,1,161,161
4.13291,65.4624,3.94713,51.7826,0.290385,0.327009,0.294679,0.321007,0.199996,1,162,162
4.09042,67.0951,3.20203,52.921,0.285527,0.283876,0.361534,0.360746,0.200446,1,163,163
4.10206,67.2767,3.65451,52.3695,0.271117,0.257472,0.340822,0.28985,0.201535,1,164,164
4.0878,70.4888,3.69449,50.7753,0.281437,0.284669,0.403945,0.297573,0.201104,1,165,165
4.046,71.4755,3.55577,51.327,0.265851,0.296674,0.351883,0.313051,0.202751,1,166,166
4.05582,70.1036,3.86261,49.7007,0.268879,0.267422,0.297154,0.317495,0.201517,1,167,167
4.03109,69.0492,3.62473,51.4148,0.268789,0.258613,0.466293,0.30239,0.199293,1,168,168
3.9552,70.183,3.66257,53.638,0.285257,0.273811,0.435538,0.28751,0.202752,1,169,169
4.00693,68.9954,3.61675,52.2302,0.279032,0.270252,0.433388,0.298141,0.200567,1,170,170
4.02369,68.7412,3.72084,52.7124,0.290462,0.275815,0.384879,0.317055,0.201826,1,171,171
3.99385,68.9539,3.59288,50.3543,0.280573,0.261648,0.392128,0.309555,0.202024,1,172,172
4.03578,66.4069,3.66656,54.511,0.28449,0.26211,0.264887,0.318489,0.201665,1,173,173
4.04079,65.5118,3.74187,53.3766,0.270776,0.247658,0.329586,0.285194,0.207745,1,174,174
4.03709,67.4278,3.58667,52.5362,0.275242,0.282765,0.237188,0.320131,0.202024,1,175,175
4.10912,66.5222,3.80831,53.8806,0.281931,0.272164,0.339447,0.334564,0.201121,1,176,176
4.12995,67.174,3.70293,53.3704,0.267196,0.25477,0.252283,0.311126,0.200595,1,177,177
4.13123,66.3374,4.04879,50.5434,0.272158,0.285659,0.298637,0.25911,0.200295,1,178,178
4.11076,67.1989,4.08287,53.3525,0.284369,0.285339,0.31873,0.298009,0.203656,1,179,179
4.04279,67.3855,3.88603,48.1194,0.272742,0.257674,0.168995,0.319274,0.200287,1,180,180
4.10087,66.6778,3.83127,52.4225,0.275275,0.271087,0.17144,0.310155,0.201965,1,181,181
4.0599,68.2987,3.71853,52.4485,0.273197,0.282635,0.121091,0.322524,0.201929,1,182,182
4.11318,67.9582,3.99494,52.9789,0.268885,0.311211,0.287144,0.277158,0.201526,1,183,183
4.08921,69.9509,3.48982,55.545,0.283757,0.291295,0.236486,0.305311,0.200955,1,184,184
4.08769,68.0238,3.78935,54.7129,0.262137,0.262152,0.235196,0.30927,0.204538,1,185,185
4.09231,69.8931,3.78994,51.7378,0.262336,0.269932,0.194604,0.316243,0.202134,1,186,186
4.02836,68.3218,3.8743,54.5936,0.257027,0.249088,0.183009,0.276659,0.204036,1,187,187
4.12171,72.5182,3.70136,48.6746,0.26386,0.275593,0.135416,0.309654,0.201609,1,188,188
4.17664,71.4093,3.87421,50.2472,0.258441,0.267747,0.111748,0.263094,0.20589,1,189,189
4.11254,69.427,3.56434,48.9298,0.257745,0.244759,0.221043,0.297648,0.197801,1,190,190
4.08982,69.2784,3.33243,50.7589,0.254944,0.261692,0.223336,0.367863,0.198838,1,191,191
4.08906,67.1973,4.07047,55.0001,0.259378,0.293177,0.268171,0.26517,0.202778,1,192,192
4.03488,67.3508,4.06954,52.0148,0.260863,0.257827,0.242993,0.271441,0.204642,1,193,193
4.1074,68.528,3.86185,56.3801,0.254051,0.277442,0.138846,0.376221,0.200694,1,194,194
4.07592,70.3072,3.55445,55.8714,0.249908,0.278576,0.135406,0.338188,0.200977,1,195,195
4.07448,69.7295,3.47904,55.5573,0.252189,0.290224,0.142326,0.333759,0.20072,1,196,196
4.04305,68.5213,3.73142,51.8868,0.266451,0.253231,0.176124,0.344768,0.203441,1,197,197
4.12384,67.2023,4.1551,53.8575,0.254158,0.269016,0.200022,0.323614,0.201152,1,198,198
4.08124,65.5427,3.82667,53.6824,0.249542,0.258367,0.272881,0.319681,0.203734,1,199,199
4.05976,64.7406,3.52229,52.1895,0.246359,0.299849,0.183364,0.291446,0.201552,1,200,200
4.02593,66.9672,3.26724,50.6067,0.25137,0.240146,0.426593,0.31252,0.20116,1,201,201
4.11815,68.2591,4.27978,52.9697,0.251744,0.257896,0.314147,0.303539,0.198186,1,202,202
4.07844,68.8507,3.70342,49.9906,0.257598,0.266589,0.386828,0.398976,0.19565,1,203,203
4.21007,67.8499,3.80777,51.9236,0.265443,0.29755,0.224781,0.332145,0.206203,1,204,204
4.21227,67.9269,3.52965,48.5533,0.28637,0.309834,0.142527,0.373789,0.200677,1,205,205
4.21621,68.7479,3.4113,49.149,0.286669,0.278426,0.185684,0.387705,0.204816,1,206,206
4.23155,66.7473,3.90161,50.2116,0.284746,0.269321,0.255161,0.336053,0.197106,1,207,207
4.19781,67.8728,3.3757,51.0805,0.27024,0.290591,0.363823,0.332417,0.204759,1,208,208
4.22573,66.805,3.90775,52.3476,0.281982,0.297418,0.318183,0.358256,0.19834,1,209,209
4.3086,67.2048,3.85834,52.8244,0.293108,0.320464,0.335152,0.338688,0.200573,1,210,210
4.31447,68.8805,3.84292,49.1687,0.29062,0.315243,0.340524,0.288857,0.201117,1,211,211
4.35441,66.5811,4.02277,52.5872,0.276721,0.308942,0.373888,0.370225,0.203063,1,212,212
4.28446,67.6286,3.76176,53.6094,0.254366,0.300353,0.269489,0.292399,0.19869,1,213,213
4.25586,68.816,3.40836,54.5561,0.250547,0.302405,0.363101,0.327359,0.202415,1,214,214
4.23117,68.3216,3.72623,53.7612,0.260808,0.282402,0.402673,0.296241,0.204476,1,215,215
4.23548,70.1614,4.23446,52.6105,0.286808,0.28246,0.311449,0.320465,0.199001,1,216,216
4.25346,69.5662,4.00546,53.3354,0.272239,0.296809,0.34142,0.339743,0.200144,1,217,217
4.23387,68.4437,3.84835,53.679,0.271266,0.31225,0.367502,0.313542,0.199629,1,218,218
4.31558,67.8452,4.25941,52.5393,0.295369,0.298736,0.312617,0.277263,0.202876,1,219,219
4.21461,67.7487,3.32567,48.3798,0.290916,0.260051,0.339873,0.369444,0.199843,1,220,220
4.2134,69.0387,3.61679,51.5884,0.27501,0.3136,0.351591,0.345265,0.202494,1,221,221
4.09092,68.9385,3.4298,49.1563,0.294854,0.269333,0.403946,0.3734,0.201042,1,222,222
4.16422,67.4364,4.17217,48.4556,0.268287,0.308709,0.281421,0.27988,0.20244,1,223,223
4.12578,68.6878,3.51685,51.8494,0.298054,0.266851,0.320646,0.348112,0.199777,1,224,224
4.08732,67.262,3.9568,52.2429,0.305837,0.272102,0.227485,0.310832,0.203579,1,225,225
3.99805,68.6914,3.38443,51.7123,0.290903,0.266197,0.236001,0.309635,0.201303,1,226,226
4.02751,68.0462,3.88886,49.6465,0.302684,0.303594,0.310511,0.316912,0.202404,1,227,227
4.10155,69.0093,3.7523,50.7259,0.30921,0.303925,0.211516,0.32519,0.204382,1,228,228
4.13867,66.9536,3.90555,50.696,0.326255,0.277559,0.285139,0.267164,0.199211,1,229,229
4.1358,68.6377,4.08803,51.7531,0.332464,0.332653,0.356425,0.255886,0.202473,1,230,230
4.18747,69.5791,3.97289,54.2274,0.332703,0.312719,0.28257,0.331077,0.200085,1,231,231
4.19662,68.6896,3.90253,51.3826,0.327357,0.312786,0.381271,0.343687,0.20129,1,232,232
4.14552,66.6343,3.67141,52.7163,0.314187,0.255564,0.393962,0.336833,0.20167,1,233,233
4.12409,66.3606,3.73665,53.2134,0.319493,0.260285,0.369325,0.335058,0.201226,1,234,234
4.16481,65.5402,4.0739,51.9082,0.321551,0.250178,0.299227,0.311431,0.199548,1,235,235
4.12889,65.2772,3.8683,52.2346,0.321824,0.261782,0.356979,0.310266,0.198495,1,236,236
4.12817,65.4427,3.68472,54.7203,0.285741,0.287077,0.349971,0.333948,0.202084,1,237,237
4.12669,66.5788,3.53608,51.4681,0.280789,0.282668,0.237409,0.336924,0.204807,1,238,238
4.23954,67.1765,4.09952,49.081,0.279219,0.296717,0.317823,0.357592,0.198788,1,239,239
4.18085,66.8349,3.46621,48.775,0.295529,0.287331,0.346441,0.416837,0.200763,1,240,240
4.25935,66.598,4.15852,48.1045,0.300386,0.330228,0.295338,0.341028,0.203185,1,241,241
4.28179,68.5285,3.58147,54.1717,0.295553,0.281477,0.250688,0.337561,0.199891,1,242,242
4.31224,67.8104,3.70667,52.6159,0.308838,0.273216,0.200278,0.367586,0.20432,1,243,243
4.26799,69.2813,3.84044,49.4865,0.298418,0.280605,0.262888,0.322678,0.1991,1,244,244
4.26904,67.3148,3.65666,53.2547,0.309634,0.272662,0.363599,0.337878,0.198251,1,245,245
4.25862,67.3075,4.0822,52.7936,0.320645,0.310577,0.313946,0.295425,0.201829,1,246,246
4.19545,65.2295,3.76269,49.3514,0.323644,0.28677,0.280924,0.275887,0.200633,1,247,247
4.17324,66.91,3.36409,55.0408,0.2862,0.289664,0.271577,0.31334,0.200307,1,248,248
4.14588,64.7596,3.53459,55.9846,0.284779,0.314987,0.173052,0.295005,0.20148,1,249,249
4.19968,65.6443,3.92216,48.9321,0.297345,0.2824,0.215903,0.285032,0.201419,1,250,250
4.18344,64.9262,4.35828,47.463,0.296842,0.283135,0.283019,0.306517,0.20094,1,251,251
4.1695,66.0979,4.15558,47.1165,0.295346,0.289621,0.248522,0.308828,0.200562,1,252,252
4.21568,65.6579,3.47285,53.108,0.273229,0.301012,0.3211,0.231406,0.203073,1,253,253
4.05197,65.4383,3.84771,50.6491,0.262393,0.257272,0.285018,0.293863,0.199125,1,254,254
4.03615,69.7079,3.56624,51.74,0.276756,0.265111,0.316629,0.333109,0.202658,1,255,255
4.05383,71.2399,3.70087,52.0944,0.289196,0.291271,0.311155,0.290141,0.207565,1,256,256
4.0541,72.7353,3.37487,51.829,0.275697,0.302555,0.336144,0.31055,0.194941,1,257,257
4.01673,70.1195,3.81887,49.631,0.265922,0.308598,0.289243,0.336117,0.205534,1,258,258
4.08138,70.3333,3.56721,52.6304,0.270447,0.273653,0.316989,0.311688,0.202434,1,259,259
4.08276,72.7091,3.39599,53.1562,0.266956,0.308161,0.324819,0.26607,0.199475,1,260,260
4.16009,71.2245,4.06315,51.2855,0.261574,0.293197,0.274043,0.301543,0.202634,1,261,261
4.20757,71.9667,3.89897,50.4736,0.258244,0.311365,0.267684,0.339383,0.206679,1,262,262
4.12487,71.1328,3.57735,50.22,0.268225,0.30147,0.232307,0.257858,0.195683,1,263,263
4.08817,70.7745,3.86651,53.8724,0.254708,0.266834,0.279317,0.31249,0.205002,1,264,264
4.05037,67.4312,4.12344,54.7602,0.2582,0.261583,0.260213,0.343629,0.200591,1,265,265
4.03492,68.3755,3.54542,52.9867,0.256947,0.254331,0.269423,0.33,0.203518,1,266,266
4.01898,68.7241,3.63509,53.5317,0.28998,0.272448,0.248487,0.312237,0.201023,1,267,267
3.98442,68.3967,3.58902,51.1386,0.282393,0.261703,0.249499,0.334309,0.194703,1,268,268
4.1107,68.6408,4.16789,51.8794,0.273636,0.276589,0.335648,0.292631,0.20812,1,269,269
4.05452,66.797,3.74988,50.1868,0.281011,0.270865,0.229405,0.363065,0.196186,1,270,270
4.1274,67.1487,3.8695,51.296,0.272366,0.269252,0.295503,0.294226,0.205338,1,271,271
4.05584,65.7235,3.62753,54.9935,0.285095,0.262246,0.238503,0.416873,0.196793,1,272,272
4.09131,65.4328,3.66561,55.9735,0.275428,0.263174,0.228045,0.322211,0.201025,1,273,273
