TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma_p,.chain,.iteration,.draw
4.08751,69.2944,3.57889,51.3383,0.268446,0.268341,0.167402,0.267655,0.198009,1,23,23
4.09872,69.1434,3.86853,53.4583,0.271093,0.250882,0.218418,0.260703,0.205222,1,24,24
4.11713,68.0355,4.13096,52.5507,0.300261,0.272105,0.210351,0.265819,0.199538,1,25,25
4.12981,68.3639,3.65494,51.4133,0.286122,0.31105,0.281855,0.259056,0.203398,1,26,26
4.12926,68.1616,3.78371,52.9261,0.298992,0.29076,0.256075,0.338171,0.202146,1,27,27
3.96219,67.2414,4.08115,52.1076,0.315703,0.301151,0.25468,0.308469,0.203056,1,28,28
4.02122,67.7088,3.83744,51.3554,0.293395,0.28567,0.232656,0.346037,0.199699,1,29,29
4.05701,68.0689,3.84076,54.1341,0.282006,0.281278,0.310118,0.284038,0.20329,1,30,30
4.0552,70.7215,3.67469,50.97,0.266839,0.310963,0.204831,0.337942,0.198716,1,31,31
4.04663,70.6644,3.84387,49.6221,0.258179,0.274568,0.257102,0.316345,0.203723,1,32,32
4.02239,68.9052,3.76589,50.6044,0.26585,0.285766,0.179225,0.321916,0.201337,1,33,33
4.04419,65.3143,3.89365,55.3406,0.283506,0.257336,0.320752,0.211652,0.200937,1,34,34
4.06417,65.8541,3.67919,54.1962,0.285721,0.269855,0.304007,0.263804,0.202588,1,35,35
4.07753,65.3207,3.66998,54.3921,0.280588,0.251214,0.299502,0.305768,0.203407,1,36,36
4.02951,66.4308,3.65304,52.3213,0.278871,0.257321,0.318728,0.346745,0.200444,1,37,37
4.10976,66.9147,3.84992,51.4413,0.269424,0.25446,0.319786,0.348715,0.202237,1,38,38
4.08183,67.2675,3.75042,49.304,0.259312,0.253664,0.352511,0.411799,0.199466,1,39,39
4.09099,67.0439,3.78326,48.2606,0.256286,0.260028,0.237493,0.389511,0.202336,1,40,40
4.12629,66.6939,3.85785,52.1811,0.240422,0.277993,0.375203,0.316167,0.200013,1,41,41
4.15222,65.7467,3.97747,51.7845,0.240105,0.284785,0.350006,0.341143,0.200459,1,42,42
4.02238,65.6526,4.03435,53.0841,0.261141,0.27371,0.315848,0.332634,0.201213,1,43,43
4.01713,66.369,3.94135,50.188,0.269453,0.273103,0.342147,0.307522,0.200678,1,44,44
4.00759,69.2708,3.58556,53.2911,0.325818,0.309102,0.214688,0.298905,0.202088,1,45,45
4.05653,68.5887,3.93553,51.7737,0.308862,0.298073,0.186143,0.3045,0.201976,1,46,46
4.02388,69.7023,3.6276,51.882,0.303839,0.300192,0.326695,0.332042,0.200831,1,47,47
4.00792,68.9385,4.03581,50.6576,0.304323,0.299934,0.205246,0.273189,0.201832,1,48,48
3.93519,67.7765,3.58027,52.1698,0.294269,0.271561,0.175837,0.327525,0.202513,1,49,49
3.99864,66.1136,4.16771,53.8157,0.286019,0.281546,0.219686,0.308649,0.201189,1,50,50
3.96379,68.6042,3.44225,48.7687,0.288029,0.270745,0.315513,0.3399,0.201452,1,51,51
4.05069,70.5297,4.08586,52.7545,0.311367,0.284738,0.207794,0.288204,0.200808,1,52,52
3.94552,68.326,3.74316,54.6805,0.312288,0.309389,0.399561,0.328603,0.19996,1,53,53
3.98147,69.7266,3.64986,55.613,0.29723,0.289808,0.420916,0.297603,0.202925,1,54,54
3.93172,69.7506,3.59333,54.2343,0.299431,0.264224,0.31387,0.32817,0.198754,1,55,55
3.94421,71.32,3.45016,58.0346,0.29978,0.300039,0.376964,0.308068,0.199152,1,56,56
4.0458,67.6357,4.10289,46.6166,0.293271,0.250727,0.264005,0.326842,0.203593,1,57,57
4.12104,68.1816,3.77379,50.6199,0.303854,0.290539,0.167955,0.259694,0.199859,1,58,58
4.18629,66.3589,3.60045,52.034,0.317081,0.282203,0.257305,0.261775,0.199297,1,59,59
4.29129,70.5333,3.48398,49.5066,0.282714,0.320958,0.197913,0.319529,0.20445,1,60,60
4.30243,70.793,3.59153,48.815,0.294504,0.299605,0.221498,0.311334,0.204227,1,61,61
4.27574,70.5137,3.47608,50.028,0.294789,0.299933,0.256013,0.309237,0.204764,1,62,62
4.32435,70.4796,3.86707,51.3865,0.303422,0.260565,0.22846,0.30389,0.197548,1,63,63
4.31549,68.6698,3.65066,51.8026,0.3227,0.265481,0.337186,0.314488,0.20254,1,64,64
4.13036,66.276,3.70117,51.8646,0.308069,0.318902,0.312706,0.308299,0.202454,1,65,65
4.15352,67.8777,3.97097,55.3064,0.325791,0.27413,0.20811,0.32902,0.197974,1,66,66
4.17583,66.1971,3.97136,55.3426,0.332057,0.25209,0.380175,0.30928,0.203893,1,67,67
4.1914,67.0949,3.92647,52.3891,0.331517,0.269672,0.230565,0.311016,0.201208,1,68,68
4.17663,67.8335,3.57634,49.7382,0.30888,0.284907,0.426597,0.333166,0.201568,1,69,69
4.19491,68.879,3.23559,50.9248,0.296497,0.272984,0.28848,0.320118,0.201431,1,70,70
4.2276300000000004,68.6477,3.7097,49.3229,0.303167,0.318522,0.268498,0.311426,0.202375,1,71,71
4.22047,71.7415,3.79161,50.4184,0.302145,0.267012,0.206029,0.28893,0.20335,1,72,72
4.22917,67.4094,3.95126,55.467,0.288954,0.254749,0.280797,0.356839,0.198711,1,73,73
4.1854,67.6034,3.65802,53.5839,0.27884,0.280634,0.297464,0.298968,0.202838,1,74,74
4.19503,67.5021,4.20149,52.1791,0.265831,0.280225,0.305191,0.237344,0.201358,1,75,75
4.18936,66.9021,3.45807,52.4467,0.271047,0.315409,0.293917,0.267631,0.199476,1,76,76
4.19138,67.5845,3.98258,52.6376,0.277454,0.309278,0.298626,0.284272,0.198781,1,77,77
4.2215,68.4049,3.74397,54.2514,0.269144,0.288914,0.35202,0.363086,0.201593,1,78,78
4.20246,69.3979,3.88897,54.3009,0.27512,0.313372,0.309506,0.328315,0.201607,1,79,79
4.21603,69.3125,3.83432,54.1166,0.270024,0.334792,0.320838,0.299665,0.201852,1,80,80
4.26067,67.3628,3.45092,49.9928,0.30384100000000003,0.26225,0.38323,0.347375,0.203145,1,81,81
4.16741,66.8568,3.26734,51.7385,0.280544,0.279114,0.460623,0.373003,0.199348,1,82,82
4.15015,67.3024,3.49199,50.9899,0.287634,0.292484,0.322372,0.314514,0.204599,1,83,83
4.13919,67.1902,3.34065,50.9907,0.271461,0.269931,0.375849,0.392166,0.199488,1,84,84
4.09099,66.9304,3.62209,50.3707,0.265494,0.275958,0.288317,0.314727,0.203158,1,85,85
4.05936,67.4083,3.68861,51.1831,0.27977,0.275291,0.357896,0.287905,0.201023,1,86,86
4.10334,66.4974,4.16104,53.6204,0.292817,0.266202,0.372646,0.29884,0.198793,1,87,87
4.08336,69.128,3.96691,51.8696,0.282963,0.259312,0.411147,0.284912,0.202007,1,88,88
4.04005,68.287,3.85475,50.2065,0.2852,0.29671,0.30702,0.297211,0.204424,1,89,89
4.07313,68.1262,3.82243,53.6414,0.270827,0.259379,0.347784,0.2951,0.200703,1,90,90
4.0972,68.2335,4.17606,54.4435,0.264679,0.246825,0.281296,0.259663,0.203048,1,91,91
4.12191,68.2999,4.06943,54.9233,0.265209,0.256132,0.223429,0.272837,0.201362,1,92,92
4.13574,70.9114,3.42771,48.6804,0.301952,0.314123,0.340168,0.32907,0.202187,1,93,93
4.15117,70.9112,3.30662,48.5837,0.297523,0.303266,0.234856,0.280969,0.198101,1,94,94
4.19829,70.0325,4.31245,51.7756,0.302545,0.335826,0.331519,0.333236,0.20468,1,95,95
4.18405,69.7287,4.10365,51.2388,0.307912,0.327665,0.320122,0.338321,0.199792,1,96,96
4.04816,71.9876,3.5639,52.3776,0.329017,0.246005,0.232605,0.348867,0.202631,1,97,97
4.0274,70.7154,3.59951,52.1473,0.319866,0.249125,0.227114,0.31572,0.201556,1,98,98
4.0222,70.0229,3.80629,56.7698,0.336333,0.249944,0.341821,0.314719,0.200148,1,99,99
3.96979,71.141,3.61249,50.866,0.321449,0.254983,0.209688,0.347327,0.20179,1,100,100
4.11661,67.9642,3.85956,54.2442,0.294867,0.294168,0.288684,0.311922,0.202697,1,101,101
4.12258,68.2865,3.62821,50.837,0.30283,0.292629,0.282886,0.278662,0.199862,1,102,102
4.15511,67.5178,3.89426,49.3187,0.299572,0.29307,0.217022,0.329509,0.204296,1,103,103
4.19707,68.1212,3.81764,49.4329,0.294173,0.300929,0.232226,0.364118,0.201641,1,104,104
4.20899,67.7134,4.33027,51.2845,0.31041,0.28578,0.285691,0.301024,0.201221,1,105,105
4.19761,69.5991,3.50877,49.9061,0.324397,0.295896,0.208477,0.376787,0.199607,1,106,106
4.20571,69.978,3.95997,52.6237,0.320615,0.264168,0.216602,0.288211,0.206565,1,107,107
4.23157,68.4247,3.55544,50.818,0.317969,0.330016,0.18424,0.339488,0.1954,1,108,108
4.21678,69.7881,3.64371,50.8649,0.319702,0.322672,0.15996,0.366439,0.193834,1,109,109
4.22218,68.028,4.0018,51.7627,0.316744,0.287208,0.262406,0.348369,0.196595,1,110,110
4.23322,67.9611,3.63447,52.4842,0.29322,0.318948,0.297347,0.241035,0.206628,1,111,111
4.20583,67.2611,3.81678,53.4796,0.302815,0.307718,0.241259,0.350183,0.201748,1,112,112
4.16631,70.0874,3.73594,50.159,0.309299,0.29655,0.213223,0.290749,0.202352,1,113,113
4.15514,72.3835,3.51498,50.0922,0.316241,0.311574,0.320788,0.445036,0.20081,1,114,114
4.13303,71.9995,3.88565,52.167,0.315658,0.290982,0.295236,0.384653,0.203573,1,115,115
4.14622,68.9087,3.6162,49.6758,0.314804,0.289446,0.227536,0.248322,0.197512,1,116,116
4.06222,67.2209,3.98013,50.7302,0.304895,0.251589,0.310482,0.324339,0.20486,1,117,117
4.07743,69.5958,3.69535,52.6458,0.271256,0.315021,0.269832,0.30704,0.202186,1,118,118
4.25398,70.1267,3.782,51.3098,0.283632,0.242084,0.186694,0.254558,0.202244,1,119,119
4.30139,71.6483,3.29068,49.8904,0.296521,0.241394,0.211846,0.336069,0.203462,1,120,120
4.35988,71.4707,3.42748,46.7582,0.294251,0.277945,0.186431,0.335577,0.205011,1,121,121
4.38966,68.3796,3.41852,51.8345,0.315576,0.238899,0.227929,0.364989,0.199543,1,122,122
4.42229,68.513,3.43681,50.3957,0.315136,0.255047,0.203181,0.405743,0.202226,1,123,123
4.46485,69.3122,3.83846,51.1866,0.292943,0.247571,0.316015,0.325262,0.200405,1,124,124
4.48261,68.9628,3.81471,53.7939,0.295529,0.227124,0.326216,0.315387,0.201907,1,125,125
4.44935,69.3022,3.70638,52.3539,0.294003,0.256037,0.308651,0.326862,0.203412,1,126,126
4.38424,68.1635,3.79644,53.6849,0.305023,0.25571,0.254665,0.340811,0.198077,1,127,127
4.29741,69.2875,3.8664,52.4243,0.320761,0.254027,0.258413,0.382605,0.203401,1,128,128
4.16241,69.9633,3.3429,47.9898,0.330562,0.252454,0.157137,0.341579,0.201408,1,129,129
4.12446,68.1792,3.86711,51.2646,0.326288,0.266459,0.232063,0.325881,0.201184,1,130,130
4.13894,68.5552,3.55896,50.5715,0.32141,0.267377,0.180847,0.291515,0.202407,1,131,131
4.19941,65.407,4.14722,53.6635,0.316098,0.247217,0.282162,0.240673,0.201925,1,132,132
4.22183,68.9893,3.59859,51.3089,0.297818,0.301661,0.269383,0.322073,0.204061,1,133,133
4.22573,68.5836,3.88017,52.1273,0.307897,0.268722,0.196547,0.268614,0.198182,1,134,134
4.15184,68.8022,3.38735,51.605,0.29593,0.301992,0.243197,0.300397,0.205399,1,135,135
4.24047,68.7331,4.03234,49.5308,0.282704,0.257153,0.216818,0.35296,0.197815,1,136,136
4.19623,70.5018,3.52582,52.091,0.30261,0.275286,0.217439,0.315273,0.205462,1,137,137
4.25384,70.8436,4.16647,51.7499,0.313402,0.289157,0.290934,0.28618,0.198527,1,138,138
4.21786,67.5379,3.77251,51.6383,0.278181,0.297345,0.278802,0.317542,0.202349,1,139,139
4.1957,67.546,3.96274,50.7649,0.273688,0.287007,0.201437,0.35264,0.198622,1,140,140
4.19769,67.0644,3.82293,52.2496,0.271468,0.280099,0.233763,0.31762,0.201653,1,141,141
4.16857,69.7597,3.56226,48.5067,0.270087,0.280265,0.229694,0.316299,0.201569,1,142,142
4.30491,66.7557,4.28992,55.8236,0.270709,0.249507,0.210464,0.335095,0.200707,1,143,143
4.23444,67.0237,3.40626,51.5123,0.295056,0.275262,0.216334,0.322091,0.204036,1,144,144
4.17038,64.7955,3.75502,52.0758,0.270487,0.247731,0.312272,0.384189,0.198748,1,145,145
4.27703,65.5167,3.90148,49.5429,0.269685,0.313926,0.333625,0.342197,0.203724,1,146,146
4.27673,73.2983,3.90108,50.6995,0.267582,0.297435,0.39977,0.334632,0.203706,1,147,147
4.28085,71.5121,3.51978,53.5217,0.29047,0.316933,0.310386,0.333581,0.198658,1,148,148
4.32597,70.8858,4.25679,53.4395,0.266945,0.272841,0.242885,0.319074,0.202803,1,149,149
4.30447,71.4287,4.19925,53.5113,0.270137,0.268422,0.243507,0.32989,0.203064,1,150,150
4.31487,68.4141,3.71911,54.1474,0.263911,0.288218,0.275666,0.355135,0.19885,1,151,151
4.3215,69.3607,3.57701,49.1228,0.268661,0.311907,0.271915,0.333142,0.202572,1,152,152
4.27943,70.7396,3.9357,51.4291,0.287142,0.290493,0.178756,0.339249,0.202667,1,153,153
4.17075,69.6321,3.92625,55.2959,0.266547,0.268286,0.296221,0.327786,0.203417,1,154,154
4.11885,69.3465,3.46306,54.3468,0.262441,0.256721,0.27489,0.312549,0.204082,1,155,155
4.08791,68.0378,3.68873,54.8876,0.275604,0.276316,0.311839,0.284769,0.199181,1,156,156
4.16325,66.574700000000007,3.87722,52.0758,0.298297,0.284915,0.391553,0.363924,0.203958,1,157,157
4.09213,65.2509,3.95917,52.9579,0.326676,0.318826,0.439842,0.31233,0.201065,1,158,158
4.12539,67.822,3.34602,53.2877,0.324727,0.314984,0.497546,0.292866,0.200653,1,159,159
4.18288,67.6774,4.19934,48.9171,0.278904,0.302072,0.343572,0.300729,0.201324,1,160,160
4.15378,67.6955,4.02051,51.6992,0.283931,0.313144,0.361805,0.320193,0.199279,1,161,161
4.11763,68.1965,3.89849,49.3817,0.285577,0.295026,0.289233,0.323716,0.200414,1,162,162
4.17,69.664,3.59783,51.5181,0.305489,0.265944,0.336301,0.339254,0.198714,1,163,163
4.15505,69.4944,4.25954,53.7929,0.32378,0.317948,0.322069,0.326897,0.201685,1,164,164
4.12553,72.827,3.78962,50.1926,0.318998,0.313572,0.308867,0.32654,0.201475,1,165,165
4.07677,71.4002,3.9353,52.5867,0.29101,0.277567,0.266275,0.323507,0.20106,1,166,166
4.14162,71.9846,3.6957,51.4756,0.288954,0.301231,0.282921,0.321675,0.202702,1,167,167
4.17766,70.4348,3.97853,51.4433,0.310131,0.288589,0.29659,0.345004,0.199048,1,168,168
4.20057,69.8623,3.63897,51.5157,0.29924,0.286004,0.315732,0.318328,0.197326,1,169,169
4.24131,68.9336,3.99384,52.2649,0.297819,0.272118,0.271333,0.367307,0.205305,1,170,170
4.22039,67.9511,3.77259,53.8852,0.29507100000000003,0.281815,0.300374,0.334241,0.204594,1,171,171
4.22866,69.2756,3.91919,52.2875,0.291417,0.293315,0.303028,0.352099,0.204103,1,172,172
4.24608,71.0845,3.76432,52.8175,0.283133,0.246815,0.260585,0.311431,0.19903,1,173,173
4.18138,68.3805,3.80428,51.6068,0.261901,0.243894,0.172836,0.403244,0.202409,1,174,174
4.17645,66.5083,3.5786,50.4538,0.269821,0.238875,0.280273,0.313723,0.200286,1,175,175
4.19128,67.3649,4.11444,52.462,0.271812,0.258078,0.240715,0.301301,0.20087,1,176,176
4.21435,66.5334,3.98359,51.0487,0.273905,0.247476,0.239609,0.262431,0.205861,1,177,177
4.22762,66.8762,3.99183,51.7431,0.272456,0.24896,0.250771,0.276244,0.205627,1,178,178
4.09664,68.1589,3.34833,52.632,0.283698,0.265819,0.314912,0.327777,0.198105,1,179,179
4.086,68.0118,3.28674,52.7811,0.290483,0.278113,0.373571,0.317807,0.199421,1,180,180
4.13993,68.2881,3.44655,53.49,0.284092,0.260295,0.275315,0.390223,0.201669,1,181,181
4.12578,67.2188,3.64385,53.5366,0.279331,0.274889,0.347776,0.34117,0.201921,1,182,182
4.10002,70.9076,3.70322,49.7565,0.329362,0.270443,0.308259,0.325579,0.204361,1,183,183
4.24044,67.1208,3.82171,52.0158,0.318135,0.261693,0.208394,0.32796,0.198887,1,184,184
4.21612,66.2918,3.65754,52.4212,0.29593,0.287797,0.318169,0.282865,0.203737,1,185,185
4.26733,66.4398,3.7629,52.8939,0.29909,0.278152,0.342451,0.306474,0.206586,1,186,186
4.15824,66.9217,3.35858,49.9412,0.325681,0.274067,0.213416,0.419467,0.197673,1,187,187
4.14,69.5434,4.18498,50.1167,0.311081,0.29063,0.251593,0.337735,0.203413,1,188,188
4.07464,68.7207,3.43732,51.0626,0.306241,0.31605,0.246012,0.36333,0.199134,1,189,189
4.12932,69.0444,3.5514,51.7454,0.280591,0.302122,0.333373,0.333044,0.199568,1,190,190
4.13741,69.0049,3.57162,50.2474,0.269862,0.281848,0.344279,0.279322,0.201335,1,191,191
4.14004,68.8882,4.01218,52.4011,0.267863,0.28876,0.268754,0.316385,0.20105,1,192,192
4.08657,69.9258,3.54448,51.4397,0.257237,0.25688,0.299657,0.293341,0.201262,1,193,193
4.10495,69.7619,3.72542,54.3005,0.261657,0.252115,0.272178,0.284669,0.202944,1,194,194
4.10736,68.7505,3.6432,51.8982,0.268662,0.293161,0.340536,0.259322,0.205182,1,195,195
4.18075,71.7335,3.81597,50.7769,0.26266,0.293493,0.239364,0.335286,0.202463,1,196,196
4.14468,70.6205,3.7895,52.1454,0.258947,0.286015,0.317155,0.296679,0.201678,1,197,197
4.26347,69.8993,3.78728,51.3224,0.267996,0.319218,0.181566,0.277116,0.200472,1,198,198
4.26916,67.8022,3.93827,56.247,0.241679,0.274038,0.271595,0.297738,0.202529,1,199,199
4.24222,69.4052,3.66957,52.8661,0.262318,0.263961,0.215589,0.35023,0.201082,1,200,200
4.28833,67.6268,3.75032,51.9919,0.304293,0.264302,0.263095,0.330061,0.20086,1,201,201
4.25881,70.4024,3.71212,50.0889,0.304892,0.272116,0.204381,0.342712,0.205033,1,202,202
4.3069,70.3159,3.5401,47.1304,0.292616,0.288415,0.333782,0.359702,0.198093,1,203,203
4.23458,70.517,3.7641,52.267,0.305843,0.282223,0.388146,0.346949,0.204955,1,204,204
4.20867,67.3826,3.51066,53.3797,0.298,0.270245,0.427141,0.334261,0.196924,1,205,205
4.23173,68.2441,3.72995,53.9759,0.271437,0.28018,0.51214,0.359495,0.206597,1,206,206
4.19585,64.9978,3.55042,57.6639,0.267751,0.285214,0.538007,0.319295,0.202982,1,207,207
4.05976,67.3115,3.84193,49.3509,0.299187,0.319776,0.277199,0.348855,0.199891,1,208,208
4.06745,67.3935,3.66222,51.0176,0.284923,0.297902,0.274527,0.257,0.203431,1,209,209
4.06496,68.6198,3.83538,52.1047,0.285588,0.301873,0.272761,0.281596,0.202455,1,210,210
4.13717,70.2772,3.73782,54.1239,0.29732,0.28631,0.250643,0.288577,0.201863,1,211,211
4.14632,67.6687,3.56252,53.3535,0.309946,0.288083,0.317931,0.309557,0.201967,1,212,212
4.12582,69.2852,4.05519,50.2296,0.305694,0.320696,0.222653,0.334817,0.206274,1,213,213
4.14537,69.8356,3.70672,53.504,0.310884,0.311085,0.369317,0.280657,0.201056,1,214,214
4.09328,67.2127,3.58747,49.95,0.302709,0.297747,0.258716,0.326964,0.202076,1,215,215
4.1077,69.7765,3.76265,54.4323,0.291191,0.321355,0.385599,0.252,0.201512,1,216,216
4.11524,71.0315,4.11592,52.2679,0.293299,0.318666,0.355953,0.260881,0.202359,1,217,217
4.11504,67.8288,4.02348,54.1212,0.293112,0.304028,0.272132,0.327864,0.200028,1,218,218
4.13159,69.7912,3.52374,49.9684,0.294538,0.28382,0.232682,0.317526,0.20313,1,219,219
4.14221,68.8617,4.05576,52.2374,0.284239,0.26502,0.2825,0.325737,0.199432,1,220,220
4.14114,69.9818,3.41746,50.7634,0.283275,0.259932,0.274129,0.316103,0.204129,1,221,221
4.15436,65.9059,3.79311,50.4188,0.289632,0.261751,0.302202,0.317202,0.199317,1,222,222
4.11046,69.2064,3.38622,50.9246,0.264276,0.298312,0.210739,0.372953,0.20425,1,223,223
4.05102,68.0784,3.5576,50.3281,0.280145,0.284371,0.209026,0.313564,0.200457,1,224,224
4.15589,66.1251,3.91957,51.7121,0.278339,0.296678,0.303825,0.312813,0.200431,1,225,225
4.17286,64.729,3.63074,51.3243,0.281405,0.278706,0.221974,0.328708,0.202338,1,226,226
4.10241,67.4511,3.66348,53.1249,0.271951,0.284294,0.246423,0.282374,0.196568,1,227,227
4.12328,69.0087,3.55505,49.0811,0.257386,0.327067,0.29761,0.34661,0.205832,1,228,228
4.24481,65.8772,4.21217,49.5234,0.270321,0.318811,0.314577,0.275763,0.196956,1,229,229
4.27279,67.2732,3.52639,51.1115,0.263974,0.301593,0.26385,0.264217,0.209509,1,230,230
4.23138,67.8469,4.1028,53.7333,0.257318,0.299295,0.248483,0.317687,0.199318,1,231,231
4.25686,66.7421,3.87391,54.7423,0.263681,0.283099,0.261031,0.288548,0.198559,1,232,232
4.19119,69.6298,3.59073,48.8991,0.250413,0.280345,0.216507,0.361764,0.204389,1,233,233
4.25594,68.0216,3.9643,51.5241,0.267443,0.276112,0.215994,0.302954,0.2042,1,234,234
4.13389,69.5343,3.63732,51.3405,0.254951,0.279376,0.179991,0.31964,0.205049,1,235,235
4.17223,68.8396,3.83566,48.8478,0.302024,0.290774,0.253825,0.393255,0.200364,1,236,236
4.20344,68.7851,3.58235,52.3658,0.280924,0.298536,0.293308,0.354049,0.201734,1,237,237
4.18817,68.2571,3.56085,52.2053,0.279713,0.285466,0.289925,0.383522,0.199461,1,238,238
4.17488,68.7946,3.63261,52.1444,0.286582,0.295376,0.231844,0.338513,0.202173,1,239,239
4.08998,69.6591,3.33654,49.5371,0.299112,0.291237,0.27902,0.390837,0.200393,1,240,240
4.10873,68.1924,3.82608,54.0366,0.299088,0.272064,0.349621,0.333993,0.201785,1,241,241
4.02584,69.3689,3.63324,52.0416,0.29886,0.292222,0.237397,0.330584,0.201505,1,242,242
3.98856,67.1592,4.12541,54.2167,0.304533,0.297169,0.343218,0.279426,0.201787,1,243,243
4.01475,66.5394,3.66582,49.6175,0.291197,0.262183,0.154478,0.347679,0.201699,1,244,244
4.03236,68.2542,3.8045,49.6402,0.293446,0.296489,0.216816,0.315805,0.204035,1,245,245
4.04732,66.7426,3.81981,52.981,0.308518,0.299311,0.398453,0.278323,0.19923,1,246,246
4.06895,66.2329,3.95439,52.1864,0.305803,0.268408,0.365974,0.297848,0.20097,1,247,247
4.13316,68.2998,3.77531,54.3679,0.266751,0.27426,0.332836,0.318948,0.202535,1,248,248
4.22151,67.5579,4.0424,50.5374,0.251448,0.257594,0.250215,0.309814,0.200536,1,249,249
4.20365,66.6283,3.90171,51.4121,0.263049,0.247604,0.183178,0.291848,0.203883,1,250,250
4.15932,67.7099,3.64721,51.7111,0.272512,0.292607,0.275857,0.377149,0.200726,1,251,251
4.13144,66.0031,3.99421,50.0136,0.251821,0.276813,0.280269,0.333536,0.20169,1,252,252
4.13686,67.204,3.2871,54.1816,0.276118,0.289923,0.290532,0.304358,0.199795,1,253,253
4.28301,67.7258,3.82095,50.8121,0.293467,0.279082,0.231242,0.293038,0.200296,1,254,254
4.26024,66.3988,4.28674,51.2167,0.300105,0.277739,0.374671,0.295648,0.202026,1,255,255
4.17381,66.4313,3.35378,49.1943,0.27143,0.296696,0.309921,0.321877,0.20091,1,256,256
4.21339,67.3667,3.76924,53.2795,0.276792,0.258661,0.219996,0.270409,0.203409,1,257,257
4.22243,65.3253,3.84951,53.0648,0.275054,0.270509,0.213806,0.257843,0.205477,1,258,258
4.10935,66.6374,3.94387,52.501,0.284661,0.303325,0.349139,0.229417,0.205524,1,259,259
4.08052,67.6486,3.8553,51.541,0.283087,0.306764,0.27954,0.286534,0.205275,1,260,260
4.09546,67.395,3.86576,54.435,0.294942,0.253731,0.272282,0.338252,0.199378,1,261,261
4.11498,69.7451,3.4504,50.5808,0.294345,0.242323,0.325561,0.280413,0.204949,1,262,262
4.15066,69.766,3.78632,49.3123,0.286579,0.310378,0.259186,0.307419,0.20247,1,263,263
4.10585,65.542,3.62069,51.7811,0.304685,0.273768,0.328546,0.298728,0.204648,1,264,264
4.07551,68.3594,3.90146,50.0924,0.265039,0.320877,0.209424,0.332845,0.204574,1,265,265
4.03981,67.6766,3.40804,50.1039,0.279675,0.286613,0.200887,0.348629,0.199776,1,266,266
4.12516,66.3742,3.9801,54.6184,0.26565,0.306045,0.340325,0.339605,0.199828,1,267,267
4.14692,68.5481,3.7257,52.3227,0.266182,0.275407,0.299156,0.342094,0.200816,1,268,268
4.17322,68.2217,3.78567,53.7979,0.27482,0.270284,0.313191,0.337648,0.204251,1,269,269
4.18948,68.5676,3.95935,50.6009,0.2704,0.278753,0.303933,0.345561,0.204518,1,270,270
4.14818,70.2846,3.54517,52.3013,0.28126,0.25909,0.289713,0.300039,0.198402,1,271,271
4.18446,69.696,3.89528,50.8454,0.292209,0.302988,0.310142,0.337526,0.200719,1,272,272
4.17773,69.8337,3.99235,48.7994,0.290023,0.288962,0.215154,0.242525,0.198467,1,273,273
