TVCL,TVVC,TVQ,TVVP,TVKA,TVMTT,TVCIRC0,TVGAMMA,TVALPHA,omega[1],omega[2],omega[3],omega[4],omega[5],omega[6],omega[7],omega[8],omega[9],sigma,sigma_pd,.chain,.iteration,.draw
4.00033,51.1064,4.89513,45.0213,0.941666,116.89,4.28347,0.146478,3.9004e-4,0.238815,0.136132,0.377504,0.253074,0.354825,0.266999,0.281922,0.421495,0.280067,0.197769,0.204005,1,16,16
3.88402,51.1373,5.41301,51.0571,0.776741,116.768,5.42798,0.126723,3.52824e-4,0.356932,0.197458,0.059834,0.383804,0.178063,0.139513,0.473543,0.553102,0.310942,0.186785,0.225919,1,17,17
5.92735,52.1603,3.83281,49.2411,0.840542,104.992,4.05509,0.132609,4.13894e-4,0.547338,0.104061,0.0272577,0.169276,0.293506,0.410221,0.300371,0.42578,0.456419,0.183675,0.216905,1,18,18
4.51873,51.1521,5.26964,49.8917,0.803915,123.75,5.42007,0.169927,2.34523e-4,0.348863,0.229145,0.0672051,0.239375,0.0900823,0.222347,0.366914,0.5251,0.537502,0.184762,0.226835,1,19,19
4.12817,53.1281,3.42948,43.4508,0.833436,120.928,3.92085,0.109773,3.77399e-4,0.346564,0.158679,0.181176,0.360554,0.364842,0.306035,0.492461,0.566406,0.420442,0.197904,0.207749,1,20,20
4.35794,45.9062,4.17687,45.2198,0.855236,119.199,4.75207,0.165703,3.01419e-4,0.342084,0.273185,0.121065,0.236456,0.40173,0.0607443,0.491736,0.708085,0.282175,0.197296,0.220939,1,21,21
4.14955,51.0511,3.8197,59.6517,0.757024,108.89,4.3431,0.132588,3.57773e-4,0.376008,0.165482,0.650593,0.149074,0.458842,0.0854678,0.301464,0.916685,0.649437,0.184865,0.208754,1,22,22
4.2057,38.3877,7.16642,51.8967,0.607574,114.261,5.90145,0.134185,2.8041e-4,0.576399,0.146169,0.22756,0.323349,0.390382,0.229744,0.445084,0.544435,0.365925,0.200456,0.213382,1,23,23
4.00033,43.6981,5.52786,49.1585,0.561347,99.9986,5.64686,0.096235,2.70375e-4,0.363022,0.206155,0.219696,0.444799,0.226909,0.142129,0.348513,0.658471,0.332479,0.1889,0.211457,1,24,24
4.10849,44.9881,6.41829,49.3421,0.551385,119.249,4.71818,0.0834184,2.7538e-4,0.431094,0.156062,0.272914,0.289553,0.502953,0.110004,0.469598,0.844917,0.543132,0.184417,0.217641,1,25,25
4.42324,57.5962,2.67003,48.7591,1.10102,109.131,4.79747,0.214714,3.71484e-4,0.371389,0.124999,0.154786,0.427678,0.481506,0.477136,0.305229,0.32087,0.398616,0.187756,0.20537,1,26,26
3.67745,33.3509,7.26767,54.3011,0.496871,105.994,4.61712,0.145848,2.72708e-4,0.388613,0.301422,0.114839,0.228728,0.437192,0.116105,0.369253,0.720834,0.586792,0.193114,0.211066,1,27,27
3.34939,33.6376,7.9085,62.1834,0.45553,116.818,5.23602,0.112683,3.39324e-4,0.501755,0.228145,0.353601,0.122876,0.205708,0.202262,0.354016,0.599132,0.353624,0.195177,0.208568,1,28,28
3.55849,39.3383,7.51886,58.1194,0.39738,122.476,4.88113,0.0988216,2.27726e-4,0.401822,0.137375,0.361514,0.242379,0.394538,0.424063,0.284482,0.532412,0.422959,0.188955,0.218595,1,29,29
3.53844,37.4204,8.57264,63.8628,0.448925,132.118,5.24801,0.158998,3.35973e-4,0.328866,0.205167,0.205833,0.21032,0.31284,0.304649,0.318915,0.640721,0.302082,0.191041,0.205915,1,30,30
3.40899,34.2711,8.22791,66.2913,0.501326,118.658,4.38975,0.0903882,2.42109e-4,0.346492,0.273651,0.267056,0.246983,0.112871,0.458207,0.324508,0.555294,0.572257,0.192185,0.209547,1,31,31
3.2806,35.5207,7.27083,54.2357,0.42865,122.279,5.057,0.192547,3.27465e-4,0.320719,0.333269,0.243291,0.138187,0.155774,0.157197,0.30605,0.60892,0.285021,0.192742,0.211109,1,32,32
3.44096,41.7352,5.08225,52.4995,0.737501,114.858,4.89315,0.12554,3.19404e-4,0.347967,0.231209,0.351076,0.214848,0.219055,0.320506,0.27601,0.452541,0.77306,0.191458,0.214348,1,33,33
3.7585,62.597,3.66205,40.7031,0.889899,125.946,5.2708,0.194951,3.42017e-4,0.616315,0.236363,0.343122,0.366525,0.21396,0.268875,0.434298,0.47906,0.403143,0.188184,0.200056,1,34,34
4.02943,61.283,3.36191,42.2579,0.934356,135.402,4.97628,0.14534,3.57142e-4,0.639165,0.244204,0.0531958,0.199912,0.178594,0.453778,0.498533,0.457152,0.527047,0.185167,0.207272,1,35,35
3.87766,58.7429,4.33904,46.9443,0.787615,140.115,4.55712,0.182755,3.88349e-4,0.673704,0.282435,0.165468,0.164551,0.365802,0.239514,0.267221,0.528986,0.359837,0.189996,0.215146,1,36,36
4.16936,50.405,3.32543,49.7662,0.82175,101.439,6.1936,0.107194,3.51987e-4,0.354115,0.173856,0.13816,0.317143,0.435446,0.137471,0.443637,0.699977,0.380361,0.186363,0.205345,1,37,37
4.48076,48.0406,4.80041,51.1904,0.710022,103.63,4.00113,0.0853636,1.65451e-4,0.474009,0.195535,0.0183424,0.215348,0.314944,0.215535,0.384836,0.92951,0.854556,0.200273,0.212518,1,38,38
4.36443,52.4123,3.81461,50.7112,0.568447,132.478,5.73445,0.210863,3.6199e-4,0.606417,0.316108,0.44246,0.339751,0.467801,0.594574,0.392663,0.417561,0.254947,0.184217,0.199373,1,39,39
4.50871,48.4528,5.02573,53.9125,0.812331,125.348,5.05172,0.12062,2.63308e-4,0.394408,0.201807,0.021727,0.200583,0.256608,0.345597,0.367141,0.447837,0.363537,0.197085,0.23133600000000001,1,40,40
4.77693,46.4212,3.18414,46.7525,0.505778,134.393,4.29615,0.233007,4.04058e-4,0.443916,0.183181,0.263403,0.200462,0.721165,0.431348,0.466759,0.29537,0.565148,0.18335,0.202098,1,41,41
4.24032,54.9831,4.37232,51.4061,0.949547,130.874,5.40932,0.213234,3.17466e-4,0.506944,0.140346,0.279576,0.160741,0.400441,0.20787,0.397852,0.297396,0.342988,0.197816,0.222974,1,42,42
3.51195,42.3512,4.499,58.7943,0.676982,86.3924,3.55276,0.0775263,2.79883e-4,0.391379,0.338165,0.227762,0.19981,0.197604,0.744124,0.445329,0.514298,0.319187,0.195399,0.209751,1,43,43
3.80613,38.2181,4.96649,46.871,0.669458,108.929,4.6761,0.172389,4.09116e-4,0.571055,0.171321,0.113324,0.359275,0.165322,0.165675,0.38529,0.571506,0.424035,0.18721,0.200297,1,44,44
3.76872,58.0086,3.64243,44.1379,0.756215,100.929,5.09684,0.100286,2.10764e-4,0.629965,0.301405,0.303276,0.299156,0.383139,0.390866,0.547416,0.711187,0.633489,0.199937,0.214715,1,45,45
4.01053,54.0637,3.7012,33.2775,0.875522,77.7176,5.19401,0.0946654,2.83494e-4,0.373906,0.163227,0.0707516,0.436889,0.0304014,0.469398,0.269992,0.72169,0.383444,0.182658,0.197044,1,46,46
3.78084,44.06,3.76868,51.751,0.778597,90.343,5.57987,0.110831,3.62015e-4,0.46051,0.332792,0.306735,0.351085,0.0195353,0.435545,0.298597,0.421447,0.356579,0.196505,0.203617,1,47,47
3.89688,54.3754,4.6065,52.4303,0.567583,128.951,3.86258,0.103298,3.70307e-4,0.379659,0.460739,0.235385,0.0886295,0.494754,0.301102,0.384629,0.614691,0.298128,0.194775,0.219125,1,48,48
3.80937,62.4252,2.74141,39.3456,1.05355,100.276,4.83177,0.113332,2.61572e-4,0.533213,0.243185,0.0791123,0.296257,0.249717,0.360492,0.354378,0.468514,0.63947,0.191723,0.195179,1,49,49
3.83704,43.4438,6.0395,46.3176,0.659497,100.463,5.77455,0.159021,3.46073e-4,0.293601,0.322081,0.316898,0.198642,0.176109,0.418823,0.490559,0.380837,0.322732,0.192311,0.213642,1,50,50
3.78793,45.227,6.30482,39.4265,0.669389,103.443,5.25076,0.139812,2.71713e-4,0.294092,0.212585,0.357718,0.34271,0.185144,0.264818,0.469505,0.391608,0.369325,0.186637,0.213008,1,51,51
3.97935,47.546,6.78862,44.9954,0.684684,117.586,5.0297,0.168977,3.49283e-4,0.288033,0.245909,0.36966,0.176233,0.173656,0.367575,0.389343,0.289545,0.30581,0.191563,0.203294,1,52,52
3.9916,55.8711,2.91307,47.1363,0.888157,107.857,4.61199,0.100518,3.43906e-4,0.349409,0.219515,0.0406844,0.339177,0.21593300000000001,0.114541,0.369569,1.07923,0.301294,0.188022,0.219461,1,53,53
4.02386,49.9407,4.8476,47.6154,0.729084,113.248,4.8691700000000004,0.129516,2.36021e-4,0.359353,0.159929,0.00611549,0.243755,0.433165,0.26376,0.447149,0.484094,0.599507,0.184924,0.211859,1,54,54
4.09432,44.8195,4.36001,51.3263,0.645678,141.968,4.83584,0.126631,3.46556e-4,0.450976,0.47892,0.0329866,0.247153,0.480447,0.360596,0.564624,0.305013,0.301289,0.189999,0.213669,1,55,55
3.88103,54.6865,4.17618,47.176,0.814425,130.658,5.44133,0.199793,3.84423e-4,0.260721,0.133853,0.163012,0.168277,0.329633,0.547844,0.21537,0.323055,0.343334,0.197506,0.219858,1,56,56
3.64679,52.9679,4.98999,47.1089,0.626431,132.908,5.42566,0.220242,4.39101e-4,0.228091,0.168653,0.182869,0.118161,0.290229,0.710152,0.259586,0.383953,0.248781,0.192068,0.223988,1,57,57
3.69725,56.4455,4.03762,47.3328,0.736131,129.245,5.2901300000000004,0.249144,4.05517e-4,0.254895,0.141893,0.307026,0.0970763,0.28337,0.312407,0.241722,0.343739,0.304652,0.188626,0.226373,1,58,58
4.13934,48.5356,4.67535,50.6234,0.881145,104.368,4.58997,0.0890449,3.00029e-4,0.436933,0.297145,0.0596652,0.234088,0.357494,0.139491,0.323886,0.601873,0.33502,0.198616,0.202204,1,59,59
3.55277,58.2497,3.8118,41.2246,0.773877,140.023,5.05977,0.182387,2.92776e-4,0.38755,0.348536,0.234233,0.210638,0.399196,0.314603,0.501946,0.748003,0.442374,0.187446,0.223693,1,60,60
3.60189,56.8828,4.20932,43.7361,0.668822,129.394,4.45194,0.171437,3.47221e-4,0.367255,0.217448,0.207696,0.277925,0.399791,0.426463,0.446711,0.449736,0.463491,0.187709,0.205422,1,61,61
3.35689,53.3546,3.64801,48.9237,0.875754,138.547,4.81871,0.122795,3.9587e-4,0.377348,0.159167,0.239407,0.266065,0.175449,0.34166,0.366803,0.626582,0.461185,0.191149,0.207338,1,62,62
4.0076599999999996,54.9286,4.15276,41.2199,0.829456,155.295,5.04046,0.236427,3.09839e-4,0.463431,0.190962,0.0776782,0.317954,0.197703,0.370898,0.316017,0.319345,0.411281,0.196449,0.214941,1,63,63
4.56147,46.5206,4.0149,47.2109,0.679783,112.451,4.73473,0.104154,3.477e-4,0.398251,0.121192,0.136583,0.31328,0.368067,0.231485,0.349039,0.73561,0.418635,0.192854,0.212647,1,64,64
4.51427,46.7915,3.5782,48.4993,0.663744,102.574,4.64821,0.102324,3.52574e-4,0.391072,0.144925,0.228641,0.339897,0.430117,0.298549,0.323383,0.668516,0.370046,0.194149,0.214786,1,65,65
4.68862,61.3506,3.75344,44.4997,0.892324,136.654,4.96835,0.142623,2.11526e-4,0.423852,0.294516,0.312313,0.303224,0.291864,0.460194,0.400247,0.537645,0.531899,0.190825,0.204019,1,66,66
4.20971,49.5396,3.52018,42.7332,0.835987,104.408,5.60755,0.0991825,3.09648e-4,0.358648,0.142355,0.0949915,0.18873500000000001,0.407792,0.312081,0.484921,0.732216,0.643641,0.189692,0.216363,1,67,67
4.29727,52.0541,4.04881,45.8608,0.816555,142.583,4.95164,0.157932,5.44361e-4,0.320987,0.430907,0.0969465,0.159013,0.360038,0.244396,0.401724,0.543464,0.387856,0.187481,0.209042,1,68,68
4.68835,59.7355,4.03049,47.0983,1.15825,110.479,4.73188,0.114886,3.88724e-4,0.36896,0.276134,0.397382,0.179468,0.486158,0.29635,0.376095,0.555578,0.363861,0.188734,0.207261,1,69,69
3.9177,54.9401,3.14168,45.3886,0.828548,102.36,4.9868,0.0695166,2.70536e-4,0.250927,0.289151,0.0806704,0.166212,0.500735,0.0775438,0.328538,0.698873,0.591578,0.204808,0.20772,1,70,70
4.18763,53.3208,4.0272,53.7597,0.930068,105.729,5.84943,0.0975231,1.88597e-4,0.301032,0.14984,0.466397,0.0511701,0.377538,0.51066,0.340519,0.67709,0.494305,0.189015,0.207094,1,71,71
3.95651,58.5743,3.77908,46.9997,0.853108,123.298,5.47241,0.104,2.0009e-4,0.322399,0.159336,0.248853,0.0531226,0.243771,0.355359,0.419039,0.727157,0.571989,0.200276,0.209289,1,72,72
4.10801,41.8006,3.74974,44.8955,0.67749,115.58,4.17558,0.181595,3.46334e-4,0.380924,0.258136,0.153559,0.00392575,0.352644,0.227689,0.372166,0.396303,0.410379,0.2021,0.211014,1,73,73
3.5788,60.2836,4.76655,57.0265,0.927695,133.795,6.6865,0.13657,3.68445e-4,0.336255,0.294392,0.380911,0.105993,0.303265,0.256225,0.389919,0.468163,0.312689,0.198426,0.19723,1,74,74
5.40818,45.0537,4.45859,43.7038,0.764834,108.874,3.08206,0.196066,3.29098e-4,0.479681,0.30075,0.0992333,0.117412,0.416117,0.248359,0.705858,0.552458,0.236355,0.192571,0.205795,1,75,75
4.35182,54.0894,3.76055,47.0444,0.862073,118.089,4.86141,0.101776,2.32416e-4,0.379336,0.174918,0.0872586,0.124068,0.19829,0.320139,0.329728,0.665331,0.635239,0.190367,0.209902,1,76,76
4.70708,56.9582,2.50188,47.4609,0.807792,109.639,5.43975,0.0928322,1.88555e-4,0.538379,0.151374,0.380054,0.396265,0.288188,0.198582,0.407718,0.742776,0.506036,0.199741,0.221326,1,77,77
4.7945,50.3648,3.45334,49.2479,0.789108,117.683,5.71966,0.104679,2.33026e-4,0.483852,0.166702,0.217657,0.192498,0.158544,0.405135,0.457559,0.730201,0.359604,0.192783,0.228118,1,78,78
4.51642,57.3017,2.51076,44.2655,0.898132,106.488,6.06372,0.0927738,2.70145e-4,0.457719,0.202055,0.465179,0.371013,0.278328,0.0509238,0.437942,0.890573,0.24407,0.186369,0.226594,1,79,79
3.26594,44.4123,4.65667,51.8383,0.641886,136.205,3.90865,0.138671,4.88538e-4,0.384772,0.358007,0.0676091,0.209012,0.173502,0.262108,0.502344,0.475781,0.332059,0.187223,0.212811,1,80,80
3.25145,41.6347,7.18504,56.7433,0.641313,187.621,4.08971,0.136319,3.93083e-4,0.306603,0.257704,0.251907,0.338698,0.230835,0.53504,0.370279,0.560661,0.451407,0.18891,0.224485,1,81,81
3.12028,41.2622,4.65581,53.6951,0.545493,208.979,4.28128,0.131299,3.73981e-4,0.319073,0.266384,0.0959834,0.310128,0.304677,0.90485,0.313486,0.719444,0.480003,0.190152,0.211266,1,82,82
3.12028,41.2622,4.65581,53.6951,0.545493,208.979,4.28128,0.131299,3.73981e-4,0.319073,0.266384,0.0959834,0.310128,0.304677,0.90485,0.313486,0.719444,0.480003,0.190152,0.211266,1,83,83
3.12019,41.4734,4.58931,54.0079,0.542633,208.971,4.28577,0.131568,3.74098e-4,0.319932,0.265603,0.0977967,0.316183,0.309435,0.905477,0.313204,0.717011,0.478918,0.18995,0.211382,1,84,84
3.12086,38.3079,5.88562,52.7373,0.515951,126.434,4.20063,0.135621,4.02393e-4,0.354061,0.246891,0.152918,0.078518,0.286362,0.191126,0.326525,0.345474,0.295055,0.196645,0.219526,1,85,85
4.10705,58.4228,3.39417,36.0284,0.836452,102.638,4.92851,0.0839167,2.29943e-4,0.393173,0.132192,0.253977,0.233928,0.162269,0.399063,0.284635,0.571363,0.394809,0.199326,0.229736,1,86,86
4.18452,55.6784,3.47428,41.753,0.898845,106.967,5.21439,0.0865976,2.99687e-4,0.410594,0.292097,0.0224861,0.463838,0.177547,0.416969,0.327011,0.791872,0.48367,0.198165,0.22123,1,87,87
3.91323,57.5328,2.82917,43.6884,0.774852,110.843,4.24952,0.151352,2.90105e-4,0.327176,0.141712,0.214304,0.317934,0.44278,0.115463,0.406978,0.401673,0.453397,0.193638,0.210741,1,88,88
3.72127,53.6109,3.93667,49.0444,0.758292,154.095,4.5559,0.0897713,2.50024e-4,0.498037,0.200189,0.124596,0.168019,0.414792,0.301919,0.266145,0.53643,0.540889,0.188671,0.214794,1,89,89
4.14054,57.0386,2.98661,39.6133,0.905308,106.876,4.70118,0.117295,3.09528e-4,0.316775,0.221695,0.0370053,0.263086,0.203481,0.115795,0.382972,0.764808,0.53413,0.195012,0.208091,1,90,90
4.20513,43.1982,5.69478,57.6283,0.592434,107.248,5.20728,0.114817,3.06598e-4,0.251462,0.214801,0.0923769,0.231402,0.324983,0.0626806,0.332138,0.631328,0.401806,0.191113,0.223268,1,91,91
4.12681,45.8805,4.4712,51.0521,0.572599,112.174,5.20135,0.128572,3.44668e-4,0.579709,0.152912,0.120108,0.280793,0.329575,0.0177456,0.417846,0.531201,0.426428,0.201551,0.202127,1,92,92
3.8229,49.7826,4.27274,49.1088,0.668,103.825,4.83787,0.105773,2.98345e-4,0.376517,0.0549761,0.00832797,0.311428,0.398131,0.00939454,0.592568,0.830761,0.496061,0.186665,0.217232,1,93,93
4.31459,50.3813,3.98358,46.9772,0.812704,108.977,4.82014,0.112672,2.10718e-4,0.367116,0.0527208,0.025063,0.245572,0.185636,0.139906,0.388084,0.625506,0.559583,0.199092,0.208376,1,94,94
4.20276,54.3538,3.34409,49.7087,0.87865,109.082,4.85492,0.106857,2.73388e-4,0.309873,0.0525619,0.0808216,0.236663,0.323131,0.16764,0.318673,0.755063,0.500403,0.196334,0.216212,1,95,95
4.02203,53.1379,4.59421,47.0469,1.0132,103.824,4.66874,0.0910666,2.23232e-4,0.289899,0.0609298,0.343272,0.238676,0.324204,0.0999859,0.268558,0.544098,0.459816,0.194112,0.216827,1,96,96
4.35508,42.2753,5.34331,52.5408,0.656433,99.2776,5.40589,0.154647,3.35921e-4,0.368875,0.176611,0.0884983,0.239085,0.191301,0.256229,0.380321,1.0682,0.521866,0.189319,0.210563,1,97,97
4.46604,44.8697,6.22686,64.6084,0.677364,145.23,4.6203,0.239904,3.12258e-4,0.380287,0.2737,0.329387,0.155634,0.350694,0.34815,0.334442,0.955639,0.521409,0.189011,0.23006,1,98,98
3.79364,42.678,5.36564,46.4025,0.637728,107.068,5.25789,0.138256,2.98064e-4,0.453917,0.179475,0.0469503,0.25092,0.355255,0.246803,0.475488,0.627322,0.483761,0.186685,0.204115,1,99,99
3.67442,54.5852,2.7254,51.0936,0.816379,116.64,4.45695,0.140336,3.08514e-4,0.408522,0.124699,0.296977,0.258112,0.329953,0.236269,0.33037,0.662773,0.247563,0.184577,0.213821,1,100,100
4.41847,40.001,4.58267,48.352,0.602072,97.1613,5.69573,0.104056,3.35805e-4,0.370673,0.230404,0.0764317,0.250141,0.165352,0.310421,0.521058,0.552205,0.267566,0.197733,0.206354,1,101,101
5.00904,47.0924,5.07408,53.8908,0.776332,112.845,4.48687,0.11218500000000001,2.62602e-4,0.451293,0.240348,0.191085,0.230948,0.188798,0.319469,0.466806,0.587152,0.472518,0.20211200000000001,0.213676,1,102,102
4.08056,52.8408,5.35267,57.2427,0.733503,119.757,4.67602,0.137002,3.31084e-4,0.34416,0.167533,0.263402,0.224095,0.259288,0.118894,0.401302,0.525649,0.386128,0.19779,0.202688,1,103,103
3.91548,55.1451,5.49862,49.8046,0.767058,105.482,4.67185,0.101899,3.67232e-4,0.340417,0.228752,0.113079,0.176572,0.196932,0.25435,0.287973,0.827157,0.710619,0.192759,0.230548,1,104,104
3.86064,55.2702,5.32187,48.9817,0.76596,104.596,4.66416,0.093225,3.74267e-4,0.337149,0.237815,0.0975704,0.186778,0.197412,0.214198,0.316999,0.851897,0.66562,0.193533,0.232647,1,105,105
3.85109,44.9028,4.36857,52.3006,0.674596,111.537,5.30456,0.106465,3.22211e-4,0.344195,0.312728,0.0702622,0.257838,0.365068,0.0709519,0.52938,0.810812,0.392453,0.186499,0.21419,1,106,106
4.0148,51.1726,3.36274,44.4631,0.929083,131.86,4.74599,0.156614,4.29501e-4,0.429475,0.204896,0.0243845,0.138921,0.289716,0.295611,0.425143,0.569825,0.597124,0.198091,0.209325,1,107,107
3.81589,53.7202,3.11234,46.4708,0.845425,123.668,4.83799,0.142042,4.45273e-4,0.420271,0.160022,0.0353041,0.182011,0.36892200000000003,0.268167,0.443997,0.763857,0.44289,0.198342,0.205529,1,108,108
4.72479,54.9021,5.77195,53.2672,0.662767,98.1392,5.65705,0.106629,3.11769e-4,0.421084,0.29623,0.541454,0.24096,0.251561,0.43454,0.42595,0.691628,0.484144,0.188602,0.202382,1,109,109
3.16442,53.6769,3.58498,45.7904,0.949539,137.234,5.13027,0.198005,4.95741e-4,0.436095,0.193576,0.333384,0.0996359,0.258263,0.185914,0.551067,0.405474,0.504422,0.198836,0.216077,1,110,110
3.37762,44.3855,4.16272,46.4636,0.615784,120.337,4.48695,0.141661,3.62993e-4,0.348007,0.482716,0.229784,0.0732975,0.516175,0.0661839,0.318876,0.656001,0.280549,0.188716,0.212866,1,111,111
3.35617,46.3326,4.20171,42.254,0.711582,98.3147,5.45626,0.120874,3.40862e-4,0.353771,0.201888,0.162419,0.116666,0.335498,0.307557,0.339748,0.675597,0.267802,0.185673,0.212939,1,112,112
4.49858,60.0472,3.54687,51.03,0.738713,153.895,4.37784,0.227937,3.78633e-4,0.502985,0.192952,0.0115834,0.282153,0.463352,0.328077,0.362192,0.257096,0.259108,0.197493,0.204978,1,113,113
2.98466,46.5809,3.95512,49.6675,0.653617,97.0389,5.15049,0.0964003,3.17524e-4,0.432214,0.244863,0.0484943,0.153177,0.358132,0.380871,0.423501,0.642725,0.539995,0.194736,0.211442,1,114,114
3.08839,54.6189,4.0523,47.2651,1.02613,93.1146,4.96337,0.0880603,3.27441e-4,0.362566,0.186221,0.0694709,0.191029,0.374086,0.48121,0.444697,0.697032,0.393938,0.191601,0.218938,1,115,115
3.10166,51.6496,4.23921,48.1693,0.925649,90.5459,4.88779,0.0890783,3.35384e-4,0.363607,0.193981,0.0914309,0.219484,0.347874,0.417097,0.561895,0.699215,0.391387,0.19344,0.218901,1,116,116
3.20144,53.1951,4.10059,47.1952,0.888461,111.198,4.54145,0.149814,2.74843e-4,0.501649,0.156091,0.0366263,0.189265,0.497631,0.162033,0.326968,0.428113,0.313705,0.191604,0.207978,1,117,117
3.14693,53.2518,4.52399,51.3889,0.889898,94.357,4.82994,0.112758,3.53306e-4,0.41068,0.224402,0.0420433,0.198771,0.400458,0.215511,0.366427,0.571685,0.376876,0.187508,0.212149,1,118,118
2.68617,52.6331,3.87826,44.4675,0.767208,138.83,5.63843,0.105954,2.6715e-4,0.681448,0.171939,0.0790887,0.144882,0.255395,0.444657,0.317882,0.675299,0.447946,0.195833,0.207997,1,119,119
3.73515,55.5117,3.72867,50.2133,0.860103,128.612,4.48451,0.192386,3.70438e-4,0.345885,0.203169,0.247426,0.29546,0.2366,0.302811,0.446127,0.531944,0.372951,0.195947,0.209911,1,120,120
3.60314,54.334,3.76466,54.9614,0.90917,131.475,4.99504,0.182299,4.28075e-4,0.360505,0.293646,0.359586,0.248176,0.211705,0.390194,0.361322,0.331982,0.523486,0.190437,0.207064,1,121,121
3.06481,53.8515,3.92474,34.6173,0.993639,124.841,3.87863,0.0963664,3.22942e-4,0.425813,0.248123,0.144626,0.47272,0.240134,0.219588,0.54776,0.766901,0.292613,0.188908,0.211729,1,122,122
3.63433,53.2123,3.5598,45.1367,0.812591,132.978,4.9519,0.171424,3.96778e-4,0.413779,0.103425,0.0131522,0.221353,0.217906,0.426463,0.321575,0.445065,0.567286,0.194153,0.203469,1,123,123
3.89516,52.7017,3.9082,38.2813,0.635561,105.831,5.20712,0.10929,3.18239e-4,0.41795,0.0737368,0.15172,0.353788,0.279725,0.235077,0.305624,0.357778,0.364922,0.181408,0.199369,1,124,124
4.04835,54.8816,4.40265,45.178,0.88762,109.527,4.8126,0.136218,3.8552e-4,0.37759,0.151859,0.0161243,0.195214,0.137298,0.29966,0.356856,0.780177,0.361248,0.205388,0.224346,1,125,125
3.76158,53.642,3.6147,38.3919,0.874396,138.685,5.04368,0.154818,4.05034e-4,0.572227,0.212562,0.00123058,0.281395,0.187094,0.32606,0.373631,0.429801,0.443417,0.186971,0.197687,1,126,126
