TVCL,TVVC,TVQ,TVVP,TVKA,TVMTT,TVCIRC0,TVGAMMA,TVALPHA,omega[1],omega[2],omega[3],omega[4],omega[5],omega[6],omega[7],omega[8],omega[9],sigma,sigma_pd,.chain,.iteration,.draw
4.14971,50.654,3.9794,51.1185,0.81797,123.884,4.53709,0.141209,4.13492e-4,0.295788,0.28937,0.303427,0.116633,0.412783,0.404247,0.323656,0.621615,0.380666,0.198256,0.199653,1,12,12
4.17832,54.9667,3.24852,44.8485,0.785584,110.169,5.68579,0.126686,3.89339e-4,0.352724,0.243851,0.107372,0.302112,0.3609,0.276448,0.494265,0.602342,0.350242,0.189247,0.217823,1,13,13
3.8856,48.2444,4.981,59.24,0.724658,135.083,4.78903,0.164368,3.76264e-4,0.345016,0.263968,0.269579,0.329826,0.310109,0.372773,0.309455,0.380208,0.359388,0.197277,0.215776,1,14,14
4.0557,46.7859,3.84479,49.6309,0.839819,117.821,4.47131,0.125543,3.19382e-4,0.429613,0.265523,0.114842,0.454122,0.140998,0.271116,0.3625,0.455645,0.455207,0.186622,0.204566,1,15,15
3.26935,64.7452,4.37338,42.6271,0.747585,117.182,5.39464,0.130767,3.2328e-4,0.426609,0.207545,0.238099,0.232124,0.371661,0.272135,0.363418,0.484629,0.313376,0.180698,0.201784,1,16,16
4.20543,47.2134,3.60065,44.2254,0.885301,124.287,3.63453,0.130186,3.96897e-4,0.343025,0.290449,0.267623,0.202993,0.136783,0.287196,0.446114,0.485991,0.551191,0.192948,0.215403,1,17,17
3.76668,61.263,3.42898,35.6598,0.827609,103.526,4.95218,0.131515,3.63025e-4,0.474804,0.351376,0.0163595,0.304975,0.129286,0.517499,0.320609,0.557157,0.259473,0.189176,0.200237,1,18,18
3.71743,57.9788,3.61295,37.9014,0.88571,106.748,5.12161,0.121266,3.42463e-4,0.535065,0.278455,0.0230279,0.282984,0.182692,0.255047,0.353386,0.419282,0.31332,0.180854,0.216248,1,19,19
3.58173,57.8171,3.29011,42.8437,1.02479,134.054,4.49401,0.167956,4.1897e-4,0.469154,0.280108,0.197351,0.214561,0.243068,0.241357,0.299221,0.617085,0.445292,0.192674,0.201676,1,20,20
3.57151,56.9689,3.5203,41.1466,1.01146,134.645,4.40318,0.179268,4.24816e-4,0.493736,0.308558,0.150001,0.1778,0.249424,0.298844,0.293582,0.690238,0.474263,0.195629,0.203798,1,21,21
3.67001,51.5108,4.52064,51.5616,0.810022,128.382,5.82306,0.136321,3.91711e-4,0.527818,0.233294,0.128867,0.226122,0.266674,0.314868,0.417735,0.490281,0.38351,0.188414,0.213105,1,22,22
4.05699,56.4584,3.47465,41.6908,0.828865,123.477,4.88154,0.152803,3.7734e-4,0.446455,0.221449,0.237821,0.102604,0.247945,0.368186,0.416459,0.741448,0.271492,0.193138,0.204088,1,23,23
4.04535,58.0204,3.79129,43.9833,0.826466,122.31,4.6755,0.16961,3.77922e-4,0.46169,0.200011,0.239341,0.133477,0.195618,0.374204,0.404578,0.532674,0.417882,0.195136,0.206677,1,24,24
3.89968,48.0519,5.28782,56.6159,0.829251,111.071,4.83113,0.0993903,3.00612e-4,0.38938,0.202723,0.0530776,0.372179,0.295818,0.239598,0.436616,0.596019,0.366284,0.183248,0.216291,1,25,25
3.78299,54.4888,3.53128,44.4299,0.737846,124.948,5.02972,0.162058,3.54599e-4,0.510914,0.135219,0.385462,0.176504,0.234466,0.333886,0.293666,0.940132,0.35773,0.209849,0.201977,1,26,26
4.00936,52.0304,3.74008,53.9422,0.745388,134.058,5.29295,0.150649,3.78563e-4,0.425317,0.111825,0.0598527,0.277081,0.273254,0.284369,0.343758,0.32305,0.37885,0.181859,0.212221,1,27,27
4.06105,54.4176,3.70239,44.8376,0.857195,153.154,5.12939,0.123549,3.87612e-4,0.474544,0.19874,0.199035,0.219009,0.251407,0.412325,0.567564,0.556703,0.133577,0.193419,0.212713,1,28,28
3.97119,45.4319,4.23531,46.3868,0.72052,131.439,4.30943,0.165317,3.0379e-4,0.387691,0.27092,0.179161,0.1685,0.344615,0.334228,0.271654,0.358138,0.717611,0.19351,0.20462,1,29,29
4.40585,56.1318,4.18801,46.7091,0.84678,103.112,5.6433,0.12557,3.71629e-4,0.313146,0.143584,0.00988335,0.311108,0.238771,0.263171,0.529282,0.731977,0.506166,0.18877,0.219948,1,30,30
4.274,51.5847,3.68743,41.0174,0.635864,99.9564,5.58438,0.1328,3.18789e-4,0.269429,0.121688,0.00818168,0.327767,0.450058,0.11434,0.398066,0.646798,0.40236,0.187752,0.218481,1,31,31
4.32072,51.9197,4.36479,53.5416,0.764969,111.841,5.0627,0.130923,2.78058e-4,0.37664,0.33196,0.00972784,0.192562,0.173557,0.436577,0.247563,0.466484,0.456176,0.189584,0.19855,1,32,32
4.4646,47.5449,4.12905,43.8382,0.680427,102.834,6.46506,0.116116,3.62123e-4,0.34017,0.271591,0.185893,0.148731,0.288994,0.220066,0.540651,0.463077,0.362518,0.191592,0.221801,1,33,33
4.56339,49.5549,3.66566,49.8842,0.864197,125.644,4.9012,0.155366,3.16242e-4,0.386583,0.0625717,0.122361,0.153118,0.34542,0.301442,0.294338,0.630787,0.529009,0.196564,0.215997,1,34,34
4.5481,49.2964,4.40582,47.9175,0.709681,107.84,4.82286,0.13155,2.92888e-4,0.352366,0.172835,0.322467,0.287352,0.384836,0.34206,0.278573,0.487877,0.381297,0.180644,0.200803,1,35,35
3.2716,52.2553,4.03939,46.8666,0.714376,137.217,4.78359,0.145438,3.79807e-4,0.376263,0.19289799999999999,0.2077,0.20646,0.372515,0.29717,0.434966,0.417784,0.2886,0.181004,0.210473,1,36,36
3.61285,48.256100000000004,5.19459,53.3346,0.790877,161.347,4.4988,0.184671,3.86283e-4,0.323716,0.29401,0.0985727,0.183548,0.330562,0.287996,0.342444,0.480298,0.319455,0.20229,0.215088,1,37,37
3.49585,44.3682,5.6233,55.825,0.657208,102.229,6.01146,0.144225,3.34149e-4,0.308383,0.278834,0.39579,0.373098,0.24965,0.255966,0.753242,0.53143,0.379052,0.185814,0.207169,1,38,38
3.67768,58.9081,2.73238,33.7669,1.02515,107.531,5.17162,0.154233,3.14908e-4,0.314407,0.255302,0.00399701,0.374096,0.245573,0.075465,0.280639,0.670193,0.592315,0.204818,0.212462,1,39,39
4.28731,44.3452,6.49749,66.7892,0.575611,118.355,5.04254,0.143797,3.05911e-4,0.670068,0.197013,0.206628,0.251808,0.409893,0.298156,0.403903,0.64607,0.444562,0.200077,0.212548,1,40,40
4.65633,38.7121,6.43354,67.0034,0.561817,106.881,5.79934,0.142594,3.35144e-4,0.459988,0.169256,0.242267,0.463981,0.25493,0.343481,0.312728,0.270172,0.324029,0.184061,0.213456,1,41,41
4.74487,49.3619,4.6277,50.7749,0.670471,151.308,5.60337,0.121491,3.57595e-4,0.468808,0.11085,0.09419,0.178507,0.294271,0.644942,0.362965,0.542517,0.346246,0.202979,0.20511,1,42,42
4.65402,47.1999,4.76671,54.3354,0.743309,118.888,6.91706,0.0803468,2.85936e-4,0.436213,0.12916,0.133961,0.290422,0.239676,0.271283,0.33873,0.583325,0.408557,0.178955,0.21008,1,43,43
4.2696,50.098,4.85099,61.4368,0.620692,125.378,7.03493,0.101728,2.93155e-4,0.419556,0.243274,0.262355,0.244763,0.340627,0.328816,0.320116,0.504179,0.272792,0.202784,0.217073,1,44,44
4.299,52.5077,5.46203,56.1387,0.647083,130.01,6.86699,0.149647,3.08552e-4,0.437787,0.301457,0.408967,0.260818,0.313483,0.329834,0.35175,0.594938,0.297385,0.202386,0.215245,1,45,45
3.92433,45.898,6.38886,54.847,0.707426,104.925,4.99943,0.124461,3.32961e-4,0.41707,0.28283,0.213264,0.212353,0.318006,0.188809,0.301531,0.758731,0.470354,0.179071,0.20358,1,46,46
3.63777,46.4218,4.66486,51.027,0.495992,119.056,5.15159,0.187023,3.17347e-4,0.38917,0.310117,0.166672,0.155293,0.462141,0.0554871,0.369313,0.923753,0.399808,0.191249,0.211291,1,47,47
3.73234,52.0191,4.70011,51.3091,0.615797,125.76,4.81037,0.157552,3.16738e-4,0.409123,0.257396,0.0429839,0.184614,0.400164,0.0888307,0.379504,0.61611,0.538197,0.197921,0.226902,1,48,48
3.25647,46.0806,4.97194,54.3117,0.886629,107.976,4.17164,0.115894,3.26273e-4,0.554278,0.0335224,0.0582775,0.293362,0.298584,0.0715725,0.364078,0.72083,0.627618,0.204135,0.218306,1,49,49
3.63251,51.5457,3.70758,44.7431,0.962567,105.574,5.25651,0.0820788,2.79568e-4,0.486621,0.113233,0.0425308,0.341267,0.464597,0.0692102,0.421685,0.824061,0.379388,0.187131,0.201218,1,50,50
3.68042,51.0547,3.75346,44.6381,0.657587,119.017,4.67862,0.159534,3.05956e-4,0.359723,0.164548,0.222661,0.30698,0.503819,0.107963,0.507057,0.389372,0.496343,0.197823,0.213338,1,51,51
4.20724,60.0266,3.87067,47.9058,0.923637,117.295,4.21378,0.0884169,3.08459e-4,0.426788,0.287727,0.0273516,0.171609,0.130576,0.167272,0.445996,1.07318,0.278309,0.188442,0.211682,1,52,52
4.24734,51.2502,3.27232,42.6298,0.670338,115.868,4.78534,0.193458,2.66426e-4,0.42432,0.220417,0.288211,0.219602,0.450185,0.123074,0.388348,0.385685,0.484964,0.197369,0.2177,1,53,53
4.23577,52.3128,3.2961,57.8606,0.811597,150.583,4.84421,0.178208,3.55372e-4,0.34526,0.199028,0.165662,0.317629,0.185725,0.27179,0.490398,0.307619,0.299965,0.200665,0.206105,1,54,54
4.31306,52.7315,3.45516,57.3272,0.778373,153.548,4.85671,0.183265,3.55474e-4,0.346339,0.193848,0.201653,0.322482,0.201116,0.294426,0.505065,0.306013,0.309236,0.202033,0.204832,1,55,55
4.207,54.8672,4.19951,59.3716,0.83038,120.093,5.95167,0.159999,3.85436e-4,0.305266,0.204555,0.0414812,0.292212,0.343734,0.251294,0.35996,0.58522,0.248251,0.19761,0.20472,1,56,56
3.92834,51.5347,4.15984,37.7053,0.697604,121.4,4.99872,0.128453,3.04958e-4,0.319883,0.295105,0.101113,0.363869,0.282823,0.334897,0.367893,0.330154,0.36356,0.194451,0.214812,1,57,57
4.49018,51.3851,4.12522,48.7922,0.809029,112.403,5.37657,0.106371,2.958e-4,0.440392,0.354895,0.139646,0.316188,0.127507,0.06232,0.389017,0.583906,0.351509,0.199422,0.207395,1,58,58
4.63421,50.6915,4.94393,50.2281,0.816847,108.725,4.70977,0.102047,2.39507e-4,0.347641,0.252436,0.269296,0.207368,0.200567,0.131667,0.391322,0.593601,0.423827,0.180452,0.220534,1,59,59
3.53206,52.1666,4.96823,56.7588,0.752719,102.826,5.34035,0.100716,2.79254e-4,0.439673,0.24357,0.125369,0.168193,0.0758865,0.101397,0.429643,0.509045,0.41005,0.209335,0.204805,1,60,60
3.31141,36.8369,7.60361,64.7541,0.464973,114.384,5.19156,0.113622,3.74214e-4,0.513184,0.186854,0.117853,0.431028,0.128262,0.21513,0.316067,0.666454,0.736102,0.189632,0.214909,1,61,61
3.28301,39.1403,5.81243,56.552,0.506023,141.63,4.41302,0.19035,4.04542e-4,0.590435,0.242032,0.0670503,0.154664,0.0312569,0.39201,0.476504,0.495637,0.266865,0.200371,0.211516,1,62,62
3.38584,37.9954,6.02008,58.0715,0.576532,142.735,4.43827,0.180623,3.46169e-4,0.592822,0.372799,0.255498,0.220476,0.0331811,0.459998,0.497853,0.46974900000000003,0.350571,0.197835,0.205194,1,63,63
3.10788,48.7532,4.11717,45.0825,0.848651,121.22,5.52558,0.134349,4.13868e-4,0.610611,0.240781,0.458849,0.253764,0.0406021,0.493639,0.329501,0.506767,0.532037,0.195053,0.214973,1,64,64
2.98187,54.6261,3.64621,45.0761,0.778633,125.083,6.30681,0.189512,3.56985e-4,0.504853,0.285474,0.0680019,0.161859,0.315966,0.26587,0.632619,1.09674,0.255393,0.19592,0.204435,1,65,65
3.48916,41.8112,5.32263,51.1398,0.693854,98.705,4.4428,0.108414,2.47563e-4,0.363507,0.314156,0.0653722,0.255633,0.303276,0.410703,0.535622,0.404832,0.764311,0.18692,0.230619,1,66,66
4.12743,64.3326,2.84462,26.3904,0.843543,116.229,5.16322,0.133838,3.36927e-4,0.452167,0.266206,0.347242,0.639501,0.194349,0.115529,0.393667,0.669964,0.312769,0.191875,0.197314,1,67,67
4.11794,45.384,5.00048,53.6519,0.698275,115.192,4.85166,0.112456,2.72101e-4,0.436838,0.161569,0.0844295,0.243899,0.355089,0.0921737,0.317135,0.866983,0.863174,0.187048,0.223485,1,68,68
4.33073,52.944,4.14285,46.5355,0.76918,102.788,4.98828,0.0866576,2.67566e-4,0.469669,0.141668,0.181091,0.411237,0.24052,0.0941781,0.317221,0.761743,0.310715,0.207682,0.208309,1,69,69
4.20211,48.278,3.65324,43.6314,0.806383,98.56,4.19551,0.123459,2.71644e-4,0.392952,0.341306,0.0432823,0.232595,0.115345,0.0582117,0.371505,0.943585,0.628778,0.181452,0.214858,1,70,70
3.89176,46.121,7.17432,55.7826,0.621822,101.611,5.22593,0.117326,3.2827e-4,0.327566,0.178357,0.310673,0.205827,0.177948,0.0800124,0.303028,0.870816,0.601824,0.190385,0.20671900000000001,1,71,71
3.74127,50.376,5.02953,47.1218,0.691915,107.104,4.40322,0.13294,2.65051e-4,0.413946,0.227476,0.17152,0.383495,0.117898,0.027298,0.273494,0.563823,0.378483,0.189999,0.222965,1,72,72
3.74353,51.9923,3.69075,43.6356,0.759144,101.745,4.55671,0.116328,2.77864e-4,0.396402,0.19669,0.198022,0.277299,0.147518,0.0344357,0.344847,0.664196,0.392865,0.195152,0.210647,1,73,73
3.41123,64.4801,2.75089,40.9888,0.863951,111.3,5.44211,0.0875491,2.70543e-4,0.560799,0.16819,0.0763003,0.21809,0.169442,0.209224,0.34785,0.779262,0.340216,0.194444,0.218314,1,74,74
3.58548,50.6851,4.48944,53.8222,0.7696,114.024,5.52929,0.132608,2.82771e-4,0.523526,0.159929,0.0241241,0.0899522,0.144173,0.0643818,0.41757,0.502772,0.406324,0.188169,0.219314,1,75,75
3.55674,57.5455,3.40089,39.9798,0.969053,92.2853,4.45166,0.0907623,3.25037e-4,0.461966,0.208467,0.179819,0.327697,0.260886,0.471011,0.3402,1.06226,0.620183,0.198087,0.203003,1,76,76
3.98784,57.5482,3.98638,47.3956,0.809144,111.28,5.51936,0.151537,3.7288e-4,0.433552,0.205596,0.0842282,0.260501,0.291582,0.316577,0.380839,0.207916,0.443173,0.192501,0.223833,1,77,77
4.10145,51.7427,3.69569,47.6631,0.730603,140.522,4.87011,0.18752,4.34685e-4,0.394332,0.214565,0.172143,0.575413,0.510933,0.349382,0.414492,0.498886,0.488877,0.19152,0.204476,1,78,78
4.08506,48.8809,4.75845,53.0063,0.755318,132.435,4.33564,0.11954,3.13995e-4,0.46856,0.224167,0.110063,0.146419,0.176595,0.308213,0.315668,0.536054,0.240826,0.186777,0.21134,1,79,79
3.57554,58.4106,3.42433,46.0972,0.878301,107.554,5.48334,0.118112,2.47289e-4,0.360626,0.326496,0.0745668,0.136909,0.289632,0.24898700000000001,0.33159,0.639002,0.436653,0.187454,0.214568,1,80,80
3.94529,53.317,4.17858,45.3164,0.928872,105.074,5.13725,0.124085,3.0726e-4,0.368862,0.230938,0.168317,0.0999557,0.14806,0.0660834,0.285363,0.508928,0.537132,0.19531,0.217636,1,81,81
4.1872,48.1254,3.8174,48.9745,0.597423,103.799,5.28858,0.125558,3.08611e-4,0.380647,0.28302,0.165721,0.233073,0.567897,0.162298,0.343487,0.505893,0.600637,0.192208,0.21646,1,82,82
4.1837,51.8402,4.92319,55.6263,0.679407,130.334,4.73041,0.0993673,2.72223e-4,0.333719,0.116069,0.285912,0.1925,0.255952,0.284082,0.297645,0.677175,0.442742,0.188766,0.20257,1,83,83
4.03358,52.5051,4.19452,41.6482,0.976219,111.775,5.64255,0.169821,2.66346e-4,0.454891,0.247903,0.0984551,0.150421,0.359026,0.210684,0.340533,0.890234,0.538063,0.193213,0.220103,1,84,84
3.89089,42.6296,6.10912,65.0877,0.588819,144.103,5.91586,0.108976,3.26905e-4,0.38326,0.223433,0.191297,0.136419,0.169255,0.426813,0.370948,0.620183,0.383345,0.200738,0.206038,1,85,85
4.10251,50.6908,3.38858,42.3109,0.885318,102.086,4.33396,0.223562,2.69047e-4,0.281672,0.240074,0.315005,0.100897,0.283921,0.314188,0.429326,0.703752,0.723114,0.193159,0.206635,1,86,86
4.1805,53.5332,4.04057,48.0729,0.952984,102.422,4.50624,0.245258,2.82326e-4,0.282082,0.209083,0.305738,0.112519,0.334173,0.277067,0.453396,0.631183,0.735786,0.196347,0.207146,1,87,87
3.73014,57.6911,4.48745,55.8762,0.941858,122.895,5.10506,0.124222,3.66674e-4,0.355406,0.249347,0.0369044,0.262326,0.200156,0.106037,0.332459,0.400159,0.40586,0.190007,0.221617,1,88,88
3.33886,44.2428,4.38486,45.7889,0.790314,114.03,5.08271,0.107908,2.9939e-4,0.365439,0.268921,0.24898,0.299131,0.323229,0.224421,0.412049,1.00118,0.518274,0.190816,0.206265,1,89,89
5.38267,54.9707,3.50205,44.2165,0.907026,108.691,4.79896,0.123064,3.06608e-4,0.470009,0.159553,0.20257,0.184181,0.287917,0.0432798,0.329177,0.729463,0.411505,0.194231,0.207688,1,90,90
3.99642,46.6476,4.79617,53.239,0.55364,112.494,5.19709,0.169878,3.57795e-4,0.36371,0.208162,0.0907319,0.253175,0.212341,0.0180216,0.481965,0.735178,0.744658,0.198764,0.223882,1,91,91
4.09691,50.2364,5.53456,49.908,0.666426,107.947,5.00274,0.142211,3.39557e-4,0.305556,0.0969681,0.225666,0.237366,0.227307,0.0472616,0.519675,0.6728,0.524912,0.204735,0.220752,1,92,92
3.85621,44.4672,4.77056,42.3783,0.568114,110.78,4.67801,0.173725,3.41808e-4,0.33515,0.283881,0.137492,0.405064,0.189023,0.0364592,0.340819,0.467546,0.503268,0.181966,0.211147,1,93,93
4.02624,44.3145,6.6988,43.0391,0.559428,118.901,3.81269,0.103628,2.80178e-4,0.330268,0.476068,0.307166,0.373156,0.274861,0.0738794,0.356557,0.78133,0.46797,0.184935,0.206843,1,94,94
3.89097,36.699,5.91364,53.0028,0.467231,105.456,4.25424,0.12314,2.7666e-4,0.283079,0.303802,0.0470979,0.287019,0.272755,0.226262,0.462428,0.740003,0.662163,0.191031,0.214717,1,95,95
3.26035,42.3474,6.43151,63.4294,0.707639,126.555,5.47953,0.17352,2.95494e-4,0.417313,0.226035,0.185514,0.208779,0.269112,0.29715,0.390371,0.989626,0.537628,0.19964199999999999,0.204409,1,96,96
4.46569,59.5947,2.82896,37.7951,0.827258,138.765,5.05549,0.15885,3.05658e-4,0.367842,0.198949,0.226364,0.278286,0.293678,0.316945,0.482803,0.295898,0.400327,0.190159,0.20531,1,97,97
3.97578,52.524,3.8538,40.9325,0.890778,116.072,4.66175,0.134882,3.291e-4,0.47169,0.253733,0.288799,0.267798,0.159484,0.409043,0.441489,0.512132,0.3808,0.200225,0.220506,1,98,98
3.746,49.0754,4.57236,48.75,0.768797,117.596,4.75942,0.11862,3.79047e-4,0.482917,0.320454,0.162936,0.353326,0.145763,0.368366,0.702769,0.547901,0.600016,0.188679,0.197059,1,99,99
3.55751,40.8475,4.14358,45.0168,0.666488,123.889,5.15519,0.141563,4.18122e-4,0.465815,0.481435,0.158499,0.24724,0.19761,0.318688,0.639135,0.490523,0.629714,0.189162,0.190186,1,100,100
3.5641,46.1202,3.98191,47.1897,0.717819,130.494,4.93042,0.1402,3.79239e-4,0.480132,0.336262,0.0967334,0.249855,0.195552,0.432585,0.65599,0.522943,0.565107,0.188908,0.186168,1,101,101
3.09268,57.194,3.99794,49.3522,0.835349,110.146,4.54859,0.105784,3.1601e-4,0.381536,0.121825,0.150237,0.268537,0.340478,0.279155,0.354712,0.708967,0.377746,0.182452,0.227717,1,102,102
3.88952,48.3528,4.71392,49.1012,0.790489,113.856,5.32265,0.119454,3.02066e-4,0.466609,0.316904,0.0181036,0.30357,0.283544,0.293232,0.373661,0.520482,0.491533,0.199272,0.196047,1,103,103
3.70679,59.0895,4.26054,48.6901,0.963637,130.08,4.64566,0.167355,3.89366e-4,0.37871,0.175456,0.0338354,0.359665,0.270162,0.519972,0.301085,0.474133,0.435719,0.192496,0.202953,1,104,104
3.69779,54.3683,4.00804,47.2723,0.690043,130.608,4.93973,0.173578,3.37251e-4,0.334968,0.205029,0.00567074,0.14556,0.272019,0.259135,0.290705,0.40851,0.315283,0.191648,0.207963,1,105,105
3.7081,54.3962,3.86804,46.5296,0.676339,125.345,4.89712,0.162606,3.37766e-4,0.348937,0.232885,0.00625321,0.154842,0.269743,0.241767,0.304302,0.407693,0.291836,0.193367,0.206891,1,106,106
3.61247,47.3964,3.66291,54.1961,0.930731,108.51,5.15979,0.187107,2.86882e-4,0.456203,0.284834,0.081612,0.337329,0.0137344,0.0316866,0.248252,0.67663,0.435526,0.194509,0.208267,1,107,107
3.39935,61.605,4.48683,39.8202,0.919481,129.872,5.26282,0.172154,3.70191e-4,0.45679,0.221964,0.163995,0.286195,0.0363053,0.248333,0.281747,0.768435,0.294261,0.202971,0.222168,1,108,108
3.45067,64.1316,3.8653,48.4613,0.992155,135.136,5.62189,0.150476,4.03303e-4,0.470333,0.31525,0.109788,0.320253,0.0135485,0.309811,0.518249,0.282786,0.51389,0.190639,0.19536800000000001,1,109,109
4.17627,47.8068,5.50254,60.1172,0.712737,145.953,5.13375,0.182589,2.98578e-4,0.457482,0.317398,0.0201053,0.213691,0.0176633,0.363016,0.248754,0.820939,0.40985,0.196294,0.2261,1,110,110
4.05691,49.5541,4.56052,54.8658,0.784675,146.979,5.52155,0.135962,3.87527e-4,0.428645,0.233751,0.0417602,0.189028,0.00741281,0.35886,0.27439,0.499932,0.280847,0.185658,0.207476,1,111,111
3.67661,52.6428,3.93358,53.8488,0.876656,152.553,4.8269,0.161691,3.78133e-4,0.500069,0.20277,0.0175244,0.169989,0.00307399,0.452882,0.340557,0.666697,0.306765,0.199806,0.206833,1,112,112
3.60437,42.4586,5.27051,50.4252,0.697212,119.404,5.79224,0.112915,1.94698e-4,0.501323,0.400357,0.179426,0.160784,0.0664445,0.244353,0.470519,0.417342,0.481625,0.19165,0.216229,1,113,113
4.19453,59.8104,4.32601,47.8056,0.838252,122.34,4.38424,0.168478,3.92633e-4,0.378862,0.324095,0.126887,0.247088,0.0153181,0.349226,0.335383,0.696883,0.280269,0.198036,0.201935,1,114,114
4.17689,51.9944,3.87588,46.9156,0.811512,119.719,5.1794,0.129505,0.00034833900000000003,0.356743,0.182836,0.196085,0.283586,0.0404116,0.219373,0.438752,0.468925,0.317305,0.192239,0.207803,1,115,115
4.23107,52.1652,4.86722,47.6806,0.851545,116.68,4.97119,0.143902,3.70494e-4,0.362154,0.183469,0.224609,0.242248,0.0547367,0.222543,0.415435,0.360728,0.34774,0.194943,0.211803,1,116,116
4.81065,51.151,3.78679,48.6212,0.790595,124.48,5.00758,0.144736,2.73072e-4,0.590378,0.173703,0.031761,0.0969394,0.288693,0.144889,0.29357,0.521785,0.509404,0.199014,0.210701,1,117,117
4.86913,53.8746,3.83025,48.4752,0.753304,120.223,5.30333,0.125101,3.02239e-4,0.596458,0.160001,0.0546116,0.127773,0.263457,0.200205,0.29119,0.655153,0.374136,0.195556,0.215622,1,118,118
3.84376,44.211,4.76314,47.7775,0.66184,105.213,4.41416,0.121713,3.11098e-4,0.446189,0.131525,0.104438,0.291806,0.177538,0.591516,0.322446,0.54254,0.429954,0.188359,0.211242,1,119,119
3.7862,51.7245,3.27834,45.1135,0.814699,106.744,5.64745,0.123385,3.98562e-4,0.497029,0.234483,0.0509335,0.346898,0.133639,0.370464,0.352477,0.687749,0.342061,0.1966,0.217198,1,120,120
3.45305,56.4853,4.17503,45.2002,0.735217,155.971,4.02317,0.12626,2.93562e-4,0.623817,0.318549,0.142235,0.410158,0.141655,0.438031,0.397485,0.322775,0.343563,0.187716,0.204919,1,121,121
4.45295,49.8086,3.82673,38.803,0.810958,111.529,5.2936,0.114651,3.90947e-4,0.368135,0.205517,0.138627,0.313993,0.275982,0.451849,0.391319,0.340537,0.297094,0.190484,0.22197,1,122,122
4.21738,51.4103,3.62016,53.2179,0.748646,170.124,3.97021,0.158486,3.18736e-4,0.434366,0.18346,0.199489,0.227943,0.123168,0.530566,0.352304,0.299551,0.753208,0.193602,0.212535,1,123,123
4.483,52.5383,4.32351,48.3599,0.722335,105.416,5.39028,0.0794573,3.07159e-4,0.306382,0.291757,0.0172599,0.357982,0.190708,0.10789,0.304947,0.822498,0.249987,0.193437,0.20139,1,124,124
3.96669,52.6812,4.4602,46.9031,0.832915,103.744,4.42374,0.154669,3.3282e-4,0.398953,0.156865,0.126726,0.285377,0.126173,0.46234,0.356918,0.349588,0.351383,0.188811,0.217795,1,125,125
3.70451,64.354,3.36003,42.1518,1.03769,116.846,4.81622,0.103953,4.37457e-4,0.378053,0.223604,0.101376,0.289226,0.266107,0.338569,0.281747,0.716674,0.602271,0.200918,0.204266,1,126,126
