TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma_p,.chain,.iteration,.draw
4.0715,68.0487,1.00891,0.284446,0.262574,0.285024,0.199473,1,39,39
3.94319,68.3359,1.00639,0.282741,0.296745,0.350369,0.200819,1,40,40
3.88988,69.3636,1.05622,0.284432,0.280443,0.374053,0.195444,1,41,41
4.00128,69.1637,0.957217,0.290599,0.295782,0.336531,0.193356,1,42,42
3.96434,68.6476,0.945358,0.294071,0.284432,0.363328,0.197179,1,43,43
3.97603,69.8879,1.00941,0.288451,0.28335,0.341137,0.199181,1,44,44
3.98815,71.903,0.969973,0.295652,0.2807,0.319211,0.196689,1,45,45
3.98713,71.9709,0.941378,0.296406,0.294898,0.328204,0.19657,1,46,46
4.00199,70.7506,0.975267,0.279921,0.275771,0.308026,0.201094,1,47,47
3.96641,69.0782,0.928054,0.286479,0.271888,0.332266,0.196719,1,48,48
3.96948,65.5752,0.990147,0.28131,0.324186,0.306222,0.196681,1,49,49
3.95461,68.8262,0.916439,0.284846,0.264106,0.305346,0.199915,1,50,50
3.93465,68.1408,0.937073,0.27918,0.302648,0.350442,0.196989,1,51,51
4.0318,67.4054,0.987001,0.273144,0.255727,0.310051,0.199655,1,52,52
4.06754,68.2832,0.968295,0.283157,0.276675,0.285762,0.199379,1,53,53
3.99016,68.102,0.976425,0.29428,0.307443,0.363574,0.196597,1,54,54
3.99203,67.543,0.970244,0.289632,0.288845,0.362789,0.197419,1,55,55
4.01814,68.9467,0.99125,0.286961,0.293286,0.366995,0.199043,1,56,56
3.97739,69.1417,0.985931,0.269119,0.323371,0.290488,0.195354,1,57,57
3.89888,70.8429,0.989316,0.285275,0.294334,0.394173,0.200156,1,58,58
3.91066,70.9709,0.978276,0.287138,0.298174,0.300128,0.199408,1,59,59
3.93179,71.9394,0.998338,0.288387,0.314216,0.309692,0.198721,1,60,60
3.89788,71.5976,1.02135,0.269209,0.284159,0.324632,0.199066,1,61,61
3.91608,71.4159,1.00394,0.262213,0.310766,0.30876,0.198034,1,62,62
3.88845,70.1895,0.965566,0.27333,0.2852,0.328045,0.195371,1,63,63
3.89338,70.6717,0.974306,0.275149,0.306379,0.311954,0.19769,1,64,64
3.83198,70.5237,1.01101,0.279006,0.2783,0.321754,0.199869,1,65,65
3.85805,70.7832,1.01011,0.286544,0.271134,0.309065,0.198549,1,66,66
3.77252,71.6173,0.930842,0.281891,0.269534,0.26026,0.203559,1,67,67
3.78176,71.6884,0.926945,0.25163,0.27616,0.312142,0.196791,1,68,68
3.79034,69.6821,0.971302,0.265249,0.272917,0.29488,0.198473,1,69,69
3.77362,69.4441,1.00509,0.261978,0.310017,0.324265,0.198461,1,70,70
3.89357,66.8014,0.947401,0.287117,0.289637,0.350446,0.196024,1,71,71
3.85227,67.2215,1.04822,0.273426,0.283314,0.350972,0.198535,1,72,72
3.81896,68.4018,1.03161,0.296511,0.294617,0.295786,0.199139,1,73,73
3.80986,68.4252,1.05637,0.292574,0.279584,0.351093,0.197862,1,74,74
3.80894,68.3392,0.971409,0.282939,0.265314,0.316371,0.198225,1,75,75
3.84934,69.9595,0.973079,0.295474,0.279317,0.38764,0.197118,1,76,76
3.87386,69.7727,0.996363,0.296272,0.289068,0.310576,0.198212,1,77,77
3.82632,69.9949,0.956214,0.287235,0.280798,0.301912,0.198018,1,78,78
3.78251,70.8246,0.971995,0.291368,0.265326,0.287857,0.196103,1,79,79
3.73602,72.1721,1.08028,0.281663,0.304371,0.3301,0.201189,1,80,80
3.72777,72.839,0.980814,0.296447,0.269292,0.380492,0.196739,1,81,81
3.7563,73.0316,0.999094,0.284026,0.293027,0.325284,0.199378,1,82,82
3.78377,71.2487,0.991845,0.290918,0.282917,0.345635,0.199622,1,83,83
3.73745,70.7072,0.943106,0.274551,0.299599,0.339379,0.200437,1,84,84
3.70703,71.5519,0.977483,0.27465,0.250648,0.317948,0.199075,1,85,85
3.7108,70.4082,0.966874,0.27192,0.24716,0.35333,0.198197,1,86,86
3.64156,72.7181,1.02782,0.293842,0.290284,0.325767,0.19857,1,87,87
3.65039,73.2767,1.05108,0.301696,0.295155,0.363616,0.197333,1,88,88
3.7654,73.9584,0.978272,0.285527,0.275531,0.322389,0.19619,1,89,89
3.83526,72.2704,1.02665,0.264557,0.290514,0.340681,0.201312,1,90,90
3.85121,71.0566,0.949234,0.274105,0.266295,0.353967,0.195263,1,91,91
3.83489,70.4276,0.944935,0.266137,0.271863,0.323109,0.195062,1,92,92
3.84418,70.4979,0.952143,0.267685,0.255573,0.306817,0.199824,1,93,93
3.8778,69.1016,0.998763,0.268481,0.332407,0.298611,0.196548,1,94,94
3.83517,67.7554,0.986148,0.281581,0.288513,0.28989,0.20011,1,95,95
3.85035,67.5603,0.991056,0.286034,0.312933,0.279433,0.19679,1,96,96
3.84485,69.4392,1.00205,0.300667,0.313956,0.232344,0.19384,1,97,97
3.91699,68.9934,1.00833,0.296096,0.270559,0.309376,0.203508,1,98,98
3.86076,69.933,0.994481,0.30431,0.27574,0.264584,0.194141,1,99,99
3.7235,73.137200000000007,0.991548,0.295123,0.293799,0.332577,0.202709,1,100,100
3.732,73.3462,1.00283,0.296425,0.287688,0.345706,0.199741,1,101,101
3.69999,68.5769,1.01277,0.357435,0.271576,0.334588,0.198395,1,102,102
3.70764,69.4389,1.01049,0.344925,0.296435,0.316079,0.1992,1,103,103
3.66523,69.4785,0.996163,0.356597,0.274749,0.326173,0.200516,1,104,104
3.65491,68.7691,0.978535,0.360582,0.256116,0.328784,0.195688,1,105,105
3.70583,68.4685,1.01499,0.304708,0.273356,0.327191,0.202278,1,106,106
3.68153,68.472,1.0411300000000001,0.311545,0.281555,0.316342,0.198022,1,107,107
3.67832,69.142,1.04053,0.314878,0.277576,0.325452,0.19658,1,108,108
3.71202,70.4476,1.00122,0.323951,0.296334,0.277038,0.19976,1,109,109
3.71118,70.3246,1.00146,0.306899,0.287364,0.345289,0.195972,1,110,110
3.71461,73.2414,0.984196,0.301365,0.324996,0.255151,0.202718,1,111,111
3.75679,71.0053,0.98933,0.312385,0.287426,0.331731,0.194347,1,112,112
3.86997,70.5682,0.975749,0.294032,0.297545,0.290043,0.202553,1,113,113
3.92663,70.6817,0.995495,0.304209,0.289257,0.327269,0.199662,1,114,114
3.86843,68.5922,0.978512,0.309168,0.287041,0.322808,0.196907,1,115,115
3.84255,70.1122,0.956602,0.334256,0.261813,0.390651,0.200068,1,116,116
3.76325,67.3036,0.997347,0.350747,0.272439,0.331077,0.198421,1,117,117
3.7278,68.7464,0.978736,0.316249,0.25403,0.33964,0.198385,1,118,118
3.72022,69.6655,1.09242,0.329133,0.237586,0.332711,0.198617,1,119,119
3.70337,67.3682,1.04217,0.32806,0.237257,0.34408,0.196843,1,120,120
3.63811,67.6581,1.05249,0.337342,0.241389,0.374038,0.198387,1,121,121
3.6909,68.7252,1.01603,0.330843,0.264201,0.361025,0.19855,1,122,122
3.83023,69.9888,1.02278,0.298844,0.260728,0.297919,0.200015,1,123,123
3.80847,68.8106,0.994132,0.323108,0.277289,0.292089,0.199448,1,124,124
3.85166,69.1866,1.03818,0.302193,0.276011,0.317021,0.197448,1,125,125
3.85795,70.0335,0.964013,0.301636,0.277304,0.318998,0.197339,1,126,126
3.83507,71.6993,1.02035,0.32489,0.268199,0.343418,0.197003,1,127,127
3.87585,71.5835,0.921639,0.289877,0.277566,0.349354,0.195327,1,128,128
3.89121,71.7285,0.975525,0.273682,0.283334,0.349153,0.198965,1,129,129
3.96155,70.4068,1.00081,0.273739,0.259534,0.33980900000000003,0.198641,1,130,130
3.95969,72.8555,1.0154,0.262948,0.273154,0.335203,0.197864,1,131,131
3.98809,72.0331,0.901937,0.275557,0.309461,0.353365,0.195921,1,132,132
4.04248,70.1201,0.988565,0.30443,0.258057,0.274664,0.194127,1,133,133
3.96778,71.2988,1.03565,0.293504,0.246398,0.3094,0.201747,1,134,134
3.94168,71.2164,0.95038,0.262577,0.314228,0.258896,0.205052,1,135,135
3.90539,70.7693,0.989168,0.270791,0.303109,0.292816,0.193509,1,136,136
3.9767,70.7915,1.02362,0.272795,0.329703,0.334332,0.202586,1,137,137
3.96181,69.4946,1.00885,0.286266,0.29756,0.290469,0.195057,1,138,138
3.95423,69.565,0.958909,0.280013,0.302934,0.285061,0.197768,1,139,139
3.97826,69.1652,0.993295,0.312962,0.306377,0.377842,0.197144,1,140,140
3.99788,67.4695,0.993655,0.294041,0.28392,0.30998,0.203375,1,141,141
4.03583,68.8707,1.01022,0.272477,0.267728,0.272319,0.197866,1,142,142
4.00783,67.4627,0.971224,0.268628,0.249608,0.374006,0.199542,1,143,143
3.97856,67.1825,0.971519,0.272601,0.247175,0.329146,0.196511,1,144,144
3.97597,66.9229,0.951261,0.273389,0.247974,0.295396,0.200312,1,145,145
4.16604,69.3525,0.999624,0.295151,0.276551,0.300108,0.198123,1,146,146
3.99544,66.3412,1.00293,0.269053,0.298514,0.301187,0.197386,1,147,147
4.05961,65.6879,1.04524,0.301744,0.28424,0.319708,0.198677,1,148,148
4.05873,67.0989,0.985207,0.296087,0.282422,0.260858,0.199891,1,149,149
4.10327,67.2963,1.00447,0.296198,0.259094,0.297251,0.199082,1,150,150
4.01631,67.2221,0.989295,0.29839,0.271052,0.288863,0.199822,1,151,151
3.98164,66.0348,0.983461,0.278558,0.290706,0.347731,0.19735,1,152,152
4.01044,65.3629,1.03712,0.274026,0.29411,0.312972,0.196244,1,153,153
4.06194,67.9325,0.978446,0.320451,0.264972,0.342331,0.196973,1,154,154
4.08107,67.4748,1.01298,0.334346,0.275967,0.323814,0.199436,1,155,155
4.17208,66.2295,0.947352,0.322127,0.263654,0.306935,0.198883,1,156,156
4.12792,69.7763,0.992958,0.323825,0.300452,0.365497,0.19556,1,157,157
4.13117,68.0827,0.991648,0.316759,0.313825,0.41142,0.200673,1,158,158
4.06539,69.5824,0.972206,0.320629,0.279735,0.32131,0.196017,1,159,159
4.10439,70.55,0.9972,0.320208,0.276655,0.319997,0.200784,1,160,160
3.9747,71.0933,0.954276,0.294454,0.31889,0.300962,0.197519,1,161,161
3.97863,72.2834,1.01298,0.28363,0.325738,0.314558,0.193939,1,162,162
3.96336,71.5646,1.00491,0.277271,0.321201,0.319865,0.194067,1,163,163
3.95561,70.5801,0.966628,0.262916,0.266422,0.301505,0.199482,1,164,164
3.96634,69.091,0.983378,0.265689,0.298701,0.353375,0.195608,1,165,165
3.94302,67.4493,0.9613,0.285298,0.296216,0.289059,0.196344,1,166,166
3.95723,69.412,1.00931,0.274521,0.278965,0.330569,0.201005,1,167,167
3.74935,70.971,0.984524,0.281601,0.24712,0.284892,0.200435,1,168,168
3.73117,68.3536,0.975421,0.28956,0.27089800000000003,0.339109,0.197627,1,169,169
3.77182,68.097,1.00596,0.279942,0.281315,0.3273,0.198531,1,170,170
3.77758,68.6274,1.01532,0.278256,0.28723,0.335532,0.197941,1,171,171
3.82538,68.6193,0.994204,0.277339,0.258676,0.297125,0.199312,1,172,172
3.84095,69.96,0.968515,0.289591,0.265755,0.302988,0.202616,1,173,173
3.82963,69.3398,0.967335,0.288332,0.257365,0.27681,0.198601,1,174,174
3.8114,72.0782,0.95074,0.29201,0.272251,0.363328,0.199566,1,175,175
3.89472,73.9764,1.03845,0.300278,0.281488,0.359188,0.198035,1,176,176
3.93349,73.6407,0.997728,0.284302,0.287828,0.335493,0.200071,1,177,177
3.92654,72.9336,0.992763,0.291387,0.293905,0.322117,0.197864,1,178,178
3.93377,71.3572,0.996498,0.282582,0.301487,0.359914,0.195641,1,179,179
3.939,69.6527,0.946654,0.303309,0.249233,0.303858,0.19482,1,180,180
4.0582,71.2964,0.993757,0.294036,0.287764,0.304909,0.201703,1,181,181
3.96405,72.8745,1.03666,0.294547,0.286168,0.298797,0.195228,1,182,182
3.9735,72.6577,1.03186,0.293031,0.276402,0.310451,0.196118,1,183,183
4.04872,67.4829,0.920396,0.281786,0.310865,0.347007,0.200686,1,184,184
4.10372,71.2797,1.01246,0.276394,0.32234,0.366739,0.194169,1,185,185
4.03869,67.9809,1.01438,0.273597,0.304346,0.375261,0.19988,1,186,186
4.08369,70.6451,1.06406,0.270691,0.326476,0.327585,0.197981,1,187,187
4.06257,68.617,0.956391,0.262425,0.292713,0.330955,0.198333,1,188,188
3.91684,69.6823,1.01375,0.285632,0.273617,0.320168,0.196787,1,189,189
3.9673,70.2929,0.97386,0.258577,0.273055,0.34883,0.19884,1,190,190
3.93766,70.2652,1.01246,0.268621,0.265165,0.329643,0.197858,1,191,191
4.00819,68.7749,0.932894,0.263257,0.277282,0.3701,0.198955,1,192,192
3.94781,71.4391,0.983833,0.263887,0.257385,0.315416,0.195623,1,193,193
3.94998,71.2112,1.00758,0.266419,0.265034,0.352008,0.19578,1,194,194
3.96246,71.4571,0.971458,0.272567,0.264452,0.294769,0.203441,1,195,195
3.95144,71.9287,0.983651,0.284208,0.276808,0.332115,0.194416,1,196,196
3.99605,73.7416,0.993836,0.283322,0.269257,0.307023,0.202295,1,197,197
4.02254,70.3289,0.925613,0.290029,0.258018,0.34024,0.196848,1,198,198
4.05867,72.922,0.96511,0.302583,0.296477,0.286196,0.199462,1,199,199
4.06747,69.3988,0.904703,0.287776,0.267395,0.310194,0.195897,1,200,200
4.05246,70.1656,0.942794,0.287988,0.278934,0.316625,0.201085,1,201,201
4.13264,71.0509,0.972062,0.29229,0.277696,0.296635,0.196619,1,202,202
4.11365,70.4666,0.980503,0.292673,0.265697,0.283574,0.197679,1,203,203
4.11706,69.1839,0.975218,0.294624,0.260074,0.289401,0.195078,1,204,204
4.09186,71.0746,1.01237,0.294091,0.292486,0.328567,0.200935,1,205,205
4.03264,69.6264,0.994402,0.291758,0.260733,0.32079,0.193806,1,206,206
3.91432,72.0997,0.912599,0.283098,0.276435,0.401812,0.195081,1,207,207
3.89533,72.4821,0.967671,0.277791,0.263354,0.335913,0.202983,1,208,208
3.98617,70.0114,0.975048,0.294332,0.266587,0.36607,0.196704,1,209,209
3.95914,70.4746,0.969868,0.305246,0.25973,0.323248,0.196408,1,210,210
4.00279,69.668,0.975784,0.299161,0.28388,0.377387,0.199464,1,211,211
4.12266,67.4848,0.935444,0.283075,0.293295,0.295562,0.197369,1,212,212
4.12994,67.5494,0.951568,0.274077,0.259651,0.294901,0.200949,1,213,213
4.06334,66.6272,1.05852,0.266782,0.273846,0.338402,0.196682,1,214,214
4.00866,69.5204,0.974354,0.284182,0.24972,0.26753,0.196087,1,215,215
4.07303,69.3259,0.954112,0.271777,0.254971,0.34708,0.201226,1,216,216
4.16078,69.0699,0.976604,0.273193,0.284576,0.2901,0.197435,1,217,217
4.1626,68.3261,0.961748,0.27592,0.281074,0.325762,0.201409,1,218,218
4.14616,69.774,1.00329,0.26963,0.289556,0.289286,0.197186,1,219,219
4.08267,70.7438,0.945579,0.258501,0.259173,0.34123,0.199147,1,220,220
4.22671,71.7387,0.986876,0.265832,0.266204,0.276952,0.196857,1,221,221
4.15378,69.6851,0.987172,0.281375,0.267689,0.314397,0.200388,1,222,222
4.15219,69.9133,0.980002,0.283051,0.284378,0.27303,0.197632,1,223,223
4.09496,69.3709,0.956324,0.289189,0.296618,0.317953,0.197194,1,224,224
4.10977,69.5046,0.957007,0.28987,0.293312,0.327782,0.196952,1,225,225
4.09743,70.3699,1.03233,0.281058,0.270804,0.292205,0.200322,1,226,226
4.0474,69.9929,0.999776,0.285823,0.264574,0.274682,0.198009,1,227,227
4.01018,72.4341,0.970558,0.275856,0.278474,0.342762,0.199099,1,228,228
4.00287,72.1033,1.00814,0.264982,0.305436,0.361508,0.197832,1,229,229
4.04024,71.1101,1.00271,0.294162,0.305704,0.277934,0.199244,1,230,230
4.14121,71.7849,1.00286,0.272964,0.2975,0.340535,0.197853,1,231,231
4.09651,71.1785,0.918822,0.286768,0.30337,0.324998,0.199688,1,232,232
4.12979,67.1853,0.971366,0.273576,0.290107,0.322019,0.197031,1,233,233
4.09431,65.5904,0.994923,0.255509,0.296594,0.367674,0.203239,1,234,234
4.10098,65.4631,1.0117,0.259135,0.308435,0.353163,0.193623,1,235,235
4.12821,68.3577,0.955877,0.271554,0.282054,0.360564,0.199419,1,236,236
4.09372,68.1164,0.938296,0.279462,0.311744,0.304617,0.199408,1,237,237
4.0202,68.1202,0.946082,0.282155,0.270174,0.345629,0.200024,1,238,238
4.05381,66.7253,1.00845,0.311036,0.278793,0.318632,0.199018,1,239,239
3.9495,69.704,0.947269,0.305191,0.287465,0.311127,0.194811,1,240,240
4.01211,70.6342,1.01619,0.302169,0.29575,0.289868,0.202308,1,241,241
4.0225,75.2201,0.946396,0.321127,0.296004,0.361576,0.198957,1,242,242
4.01211,73.1486,0.974359,0.305174,0.286766,0.377453,0.197585,1,243,243
4.02741,74.0313,0.989824,0.298513,0.313836,0.317143,0.198535,1,244,244
4.01045,76.2473,1.05041,0.27811,0.294473,0.393977,0.197704,1,245,245
3.97528,73.554,1.03107,0.262426,0.320216,0.350805,0.197209,1,246,246
4.04708,72.7054,1.00759,0.276942,0.292544,0.353856,0.199288,1,247,247
4.10688,73.0284,0.977976,0.274691,0.303586,0.314973,0.196643,1,248,248
3.94922,69.681,1.00319,0.285283,0.275533,0.431969,0.199796,1,249,249
3.94867,70.6445,0.955548,0.28144,0.301561,0.36064,0.196118,1,250,250
3.98468,70.3233,0.961988,0.282383,0.287999,0.357646,0.196577,1,251,251
3.95158,67.4354,0.991826,0.308053,0.28205,0.289075,0.197369,1,252,252
3.9409,68.203,0.952742,0.31681,0.288634,0.326644,0.199491,1,253,253
3.98496,67.2617,0.971663,0.296487,0.298276,0.335658,0.197541,1,254,254
4.00082,68.2521,0.986858,0.292507,0.296447,0.280576,0.200401,1,255,255
3.97391,69.1734,1.03149,0.285886,0.32171,0.291055,0.19869,1,256,256
3.969,68.6972,0.934883,0.299452,0.289966,0.394635,0.196418,1,257,257
4.05398,68.1135,0.914571,0.307248,0.303884,0.336123,0.201053,1,258,258
3.98599,69.2122,0.98203,0.32398,0.319076,0.34532,0.195601,1,259,259
3.99931,68.8,1.04714,0.298755,0.288828,0.35212,0.200782,1,260,260
4.11586,69.6749,0.972,0.297569,0.300914,0.333823,0.198346,1,261,261
4.04644,68.4022,0.946671,0.297684,0.298951,0.354083,0.198623,1,262,262
4.16297,69.2126,0.93198,0.307604,0.285374,0.325707,0.199914,1,263,263
4.13413,68.5855,1.02214,0.298159,0.274808,0.323273,0.196536,1,264,264
3.94814,67.728,0.976617,0.26525,0.291302,0.325329,0.201142,1,265,265
4.01942,69.7959,1.00844,0.2849,0.292283,0.30278,0.199152,1,266,266
4.00813,70.4058,1.00609,0.260956,0.291374,0.341886,0.196988,1,267,267
4.02084,68.5757,0.989188,0.277437,0.28805,0.28203,0.199318,1,268,268
4.01552,68.7903,1.00257,0.284195,0.269364,0.300598,0.198945,1,269,269
3.99586,67.8513,1.01047,0.28505,0.284948,0.309303,0.199172,1,270,270
4.00864,70.7919,0.980457,0.292839,0.302633,0.317678,0.20282,1,271,271
3.99449,70.7699,0.937464,0.297269,0.297617,0.332515,0.200075,1,272,272
3.94115,71.117,0.969068,0.27092,0.287577,0.367722,0.200296,1,273,273
3.96861,69.369,1.00381,0.291548,0.293444,0.344812,0.200727,1,274,274
3.93314,68.8114,0.962462,0.285316,0.280286,0.291493,0.199103,1,275,275
3.96574,68.1563,0.983632,0.304364,0.278737,0.34016,0.195605,1,276,276
3.91253,68.2948,0.968193,0.330909,0.262621,0.307692,0.202068,1,277,277
3.89455,67.6733,0.941632,0.326717,0.261584,0.318812,0.199548,1,278,278
3.81524,68.5985,1.02052,0.307374,0.278742,0.279544,0.197584,1,279,279
3.88953,70.4585,0.944098,0.294636,0.311819,0.300292,0.198986,1,280,280
3.90345,68.4836,0.953294,0.308223,0.265333,0.342778,0.196689,1,281,281
3.92825,70.2601,0.967477,0.296742,0.246003,0.362455,0.196646,1,282,282
4.00502,67.777,0.994152,0.297549,0.258898,0.403436,0.195343,1,283,283
3.99605,67.7233,0.976988,0.294148,0.268124,0.408687,0.197254,1,284,284
4.01615,69.9166,1.0652,0.297842,0.291148,0.363495,0.197869,1,285,285
3.94457,71.0497,1.00347,0.300177,0.271793,0.379541,0.199956,1,286,286
3.96521,71.7816,0.974868,0.291641,0.310481,0.313955,0.196935,1,287,287
3.92649,72.7502,0.985537,0.297029,0.275882,0.340967,0.198844,1,288,288
3.931,74.6024,0.986312,0.310145,0.297581,0.282735,0.191003,1,289,289
3.94915,70.9763,0.967696,0.30882,0.298348,0.326255,0.196077,1,290,290
3.94052,70.7767,0.970586,0.310617,0.296788,0.331074,0.196125,1,291,291
3.93973,69.431,1.02437,0.294768,0.263157,0.33696,0.201037,1,292,292
3.97413,69.4695,0.964019,0.323608,0.315104,0.309009,0.194868,1,293,293
4.07085,70.8779,0.947328,0.332411,0.264491,0.340678,0.202664,1,294,294
4.02083,71.7965,0.992266,0.317126,0.289415,0.330717,0.20021,1,295,295
4.07586,70.3416,0.92927,0.316603,0.296086,0.358107,0.197999,1,296,296
4.10791,69.0838,0.950174,0.327362,0.309758,0.308806,0.20049,1,297,297
4.18873,70.2085,0.944584,0.307832,0.269161,0.305086,0.198955,1,298,298
4.19659,71.8094,1.01416,0.312182,0.268216,0.306023,0.200666,1,299,299
4.15623,69.8811,0.984361,0.270858,0.264146,0.343224,0.198662,1,300,300
4.11049,70.0339,1.00799,0.278445,0.272884,0.278601,0.198555,1,301,301
4.05832,69.0022,1.01007,0.307457,0.27026,0.297416,0.198807,1,302,302
4.06502,68.8256,1.07837,0.303739,0.295006,0.378751,0.199135,1,303,303
4.0648,71.7598,0.990385,0.30534,0.289954,0.331262,0.198192,1,304,304
3.99774,72.9981,0.996446,0.288804,0.290005,0.342141,0.199677,1,305,305
3.99182,74.8765,0.979111,0.264561,0.287687,0.310225,0.197283,1,306,306
3.9372,72.2416,0.961655,0.27003,0.279386,0.349319,0.199483,1,307,307
3.92013,70.9239,1.0024,0.265393,0.276679,0.375103,0.198271,1,308,308
3.86083,72.225,0.953507,0.276576,0.260604,0.320163,0.197532,1,309,309
3.861,71.8772,0.955091,0.293669,0.257795,0.313028,0.200046,1,310,310
3.93658,69.7159,0.982106,0.28052,0.291194,0.329841,0.198617,1,311,311
3.99531,69.0343,0.958015,0.294906,0.249211,0.28791,0.196504,1,312,312
3.95452,70.129,0.988784,0.305144,0.315437,0.303073,0.196412,1,313,313
3.90597,69.2861,0.948173,0.278936,0.265147,0.288963,0.199686,1,314,314
3.88523,68.0892,0.988152,0.277948,0.247612,0.283361,0.197027,1,315,315
3.843,68.6104,0.97446,0.277944,0.256852,0.316647,0.199117,1,316,316
3.83986,70.0855,0.948901,0.276763,0.299539,0.320971,0.198925,1,317,317
3.92857,70.7122,0.970324,0.27819,0.284834,0.326443,0.198189,1,318,318
3.92292,68.9257,0.984072,0.300626,0.265617,0.278975,0.198668,1,319,319
3.95636,70.9862,0.995258,0.295401,0.251386,0.318688,0.198463,1,320,320
3.96534,70.6685,1.0043,0.291312,0.250741,0.323379,0.198042,1,321,321
3.92841,71.5883,0.964824,0.271785,0.263566,0.336705,0.19875,1,322,322
3.95798,72.4134,0.944795,0.263365,0.276067,0.354387,0.19894,1,323,323
3.96392,70.445,0.98905,0.258242,0.291588,0.340516,0.200301,1,324,324
3.97459,67.7702,0.943705,0.263322,0.279283,0.324809,0.195404,1,325,325
3.95664,69.8361,0.964053,0.263781,0.258555,0.317201,0.199085,1,326,326
3.89858,66.893,0.919395,0.247459,0.305427,0.352005,0.198029,1,327,327
3.8845,67.1849,0.928598,0.2501,0.270049,0.326688,0.199447,1,328,328
3.93745,69.0288,1.00339,0.264443,0.259814,0.340062,0.198813,1,329,329
3.96239,70.3361,0.95539,0.283641,0.246201,0.350333,0.200512,1,330,330
3.94396,71.8218,1.00957,0.288417,0.261648,0.318973,0.201509,1,331,331
3.92538,72.7786,1.02519,0.287881,0.314713,0.311239,0.196726,1,332,332
3.9167,70.2569,0.97873,0.278145,0.288188,0.382274,0.198951,1,333,333
3.89193,70.1551,0.987614,0.277431,0.288437,0.344123,0.19948,1,334,334
3.92008,70.002,0.969661,0.274748,0.286715,0.348515,0.202577,1,335,335
3.90265,69.8027,0.968964,0.279969,0.281528,0.302989,0.193734,1,336,336
3.93522,70.7425,1.0026,0.258552,0.296636,0.307838,0.203686,1,337,337
3.82079,70.2243,0.951912,0.280691,0.259055,0.296699,0.195406,1,338,338
3.84463,73.4965,0.987887,0.28912,0.273962,0.356722,0.202305,1,339,339
