TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma_p,.chain,.iteration,.draw
4.03212,70.772,1.02955,0.302984,0.300285,0.364582,0.196225,1,127,127
4.01542,68.4743,0.978526,0.309132,0.263327,0.317012,0.193459,1,128,128
3.97902,68.1169,0.976947,0.303968,0.285754,0.29262,0.192967,1,129,129
4.06009,67.9939,1.03195,0.346594,0.26247,0.342724,0.193129,1,130,130
3.99765,69.0518,1.01763,0.317808,0.253234,0.346785,0.191505,1,131,131
4.06109,70.5626,1.00031,0.313366,0.305252,0.333517,0.193635,1,132,132
4.0741,71.4695,0.981437,0.324113,0.257372,0.281496,0.195249,1,133,133
3.99547,72.449,0.971262,0.31517,0.280487,0.309921,0.190747,1,134,134
3.98512,73.0683,0.982372,0.314418,0.277313,0.295241,0.191505,1,135,135
4.03057,71.0258,0.973729,0.31213,0.258321,0.294426,0.19302,1,136,136
4.03624,71.4483,0.969863,0.299545,0.2745,0.359628,0.192881,1,137,137
3.88781,67.7425,1.00518,0.297415,0.233252,0.277444,0.194187,1,138,138
4.00771,69.4762,1.00139,0.35716,0.282062,0.320172,0.193639,1,139,139
3.96688,69.2581,1.02678,0.338796,0.285639,0.312895,0.189258,1,140,140
3.87909,71.1614,1.0073,0.340779,0.30198,0.321295,0.196497,1,141,141
3.89618,67.9397,0.931524,0.377773,0.273749,0.355087,0.189928,1,142,142
3.9597,70.6574,0.987475,0.409533,0.275583,0.304146,0.192478,1,143,143
3.93745,69.6909,0.977087,0.384444,0.263049,0.294837,0.193792,1,144,144
3.9541,70.2846,0.942547,0.369773,0.256335,0.341606,0.192259,1,145,145
3.97652,71.5485,0.99362,0.349088,0.238583,0.405559,0.19111,1,146,146
3.94988,69.7935,0.968807,0.321741,0.262829,0.345409,0.19295,1,147,147
3.94186,72.1278,0.995199,0.331126,0.267407,0.351776,0.1926,1,148,148
3.96081,73.6316,1.00292,0.337822,0.269441,0.341999,0.193854,1,149,149
4.00649,74.0358,0.99728000000000006,0.338627,0.267093,0.346151,0.190673,1,150,150
4.07592,73.1,1.01731,0.321079,0.311722,0.321683,0.193057,1,151,151
4.02593,70.4513,0.947154,0.291361,0.260863,0.326731,0.192553,1,152,152
3.99439,71.2971,0.975322,0.308961,0.281141,0.34363900000000003,0.191322,1,153,153
4.05724,71.0225,0.978008,0.331236,0.276647,0.363588,0.195459,1,154,154
4.09387,69.7154,1.03371,0.286159,0.243367,0.314001,0.194736,1,155,155
4.02223,71.8342,1.02236,0.274976,0.281496,0.355168,0.189022,1,156,156
4.00668,71.6437,1.02856,0.270078,0.266343,0.372071,0.199071,1,157,157
3.99923,68.9385,0.965451,0.275082,0.237314,0.311786,0.189052,1,158,158
3.96955,68.3033,0.970316,0.270656,0.258301,0.306045,0.199575,1,159,159
3.9845,68.7891,0.957954,0.280959,0.259251,0.322709,0.201041,1,160,160
3.98208,71.3478,0.966964,0.264727,0.256512,0.3869,0.187997,1,161,161
4.07099,72.9275,0.953221,0.245585,0.290852,0.35845,0.197177,1,162,162
4.18555,69.9965,1.04934,0.278328,0.275502,0.327942,0.193842,1,163,163
4.15906,70.9994,1.02671,0.272634,0.246955,0.325604,0.189547,1,164,164
4.14895,70.9465,1.03586,0.286808,0.285671,0.383063,0.196171,1,165,165
4.15185,74.4916,1.04211,0.288704,0.265596,0.392723,0.196881,1,166,166
3.91829,66.8225,0.983617,0.272741,0.244999,0.318048,0.190273,1,167,167
4.03481,67.5244,1.06252,0.30803,0.27649,0.361427,0.196785,1,168,168
3.98586,69.8379,1.01521,0.305765,0.25773,0.30103,0.192764,1,169,169
3.92213,69.7638,1.03828,0.302762,0.251808,0.365592,0.193702,1,170,170
3.95334,71.1522,0.982179,0.296189,0.252249,0.377429,0.191784,1,171,171
3.86266,72.726,1.05532,0.289258,0.260795,0.349616,0.192416,1,172,172
3.88555,72.873,1.09954,0.285588,0.256217,0.373261,0.191443,1,173,173
3.88599,72.1122,0.963536,0.307098,0.261542,0.350713,0.195953,1,174,174
4.02254,71.2422,1.02818,0.326575,0.262309,0.340734,0.196815,1,175,175
4.04686,69.9887,0.999936,0.301766,0.261399,0.307511,0.190428,1,176,176
4.08862,72.3877,1.01472,0.31583,0.227529,0.369086,0.201877,1,177,177
4.19479,70.6396,1.02554,0.306986,0.288619,0.2912,0.189454,1,178,178
3.92793,72.4529,0.947078,0.296106,0.26412,0.353937,0.193803,1,179,179
3.88146,72.1516,0.985943,0.307249,0.257453,0.296615,0.191932,1,180,180
3.93148,72.3814,0.96044,0.366261,0.254233,0.345657,0.19232,1,181,181
3.92665,70.9663,0.933374,0.350653,0.249774,0.32674,0.195212,1,182,182
3.88738,69.1723,0.940975,0.358343,0.277428,0.34786,0.190814,1,183,183
3.86391,70.5509,0.954897,0.340044,0.284842,0.32675,0.19313,1,184,184
3.91111,69.4217,1.00792,0.330259,0.265908,0.332548,0.200514,1,185,185
3.99036,70.4727,1.02067,0.304909,0.293647,0.353993,0.191789,1,186,186
3.97251,70.8623,1.02859,0.309053,0.28663,0.360797,0.191518,1,187,187
3.90684,68.8897,1.05429,0.315627,0.294361,0.349373,0.193662,1,188,188
3.99274,68.6497,1.0611,0.298296,0.270428,0.330318,0.189689,1,189,189
3.9157,70.1986,0.981927,0.293593,0.29839,0.330147,0.194168,1,190,190
4.07957,70.9906,1.01091,0.263757,0.249199,0.299206,0.195161,1,191,191
4.04217,71.8283,1.0113,0.282905,0.244755,0.300072,0.193113,1,192,192
4.10745,70.975,0.994821,0.276505,0.295263,0.310925,0.192546,1,193,193
4.07164,68.1958,1.01536,0.285225,0.262353,0.328744,0.190019,1,194,194
3.98914,69.7216,1.00539,0.263789,0.252348,0.311817,0.19617,1,195,195
3.95595,69.3998,0.999718,0.28818,0.254928,0.323446,0.198537,1,196,196
4.15833,72.0964,1.03121,0.295177,0.259194,0.274685,0.196982,1,197,197
3.97219,72.1968,1.02935,0.329245,0.312923,0.349244,0.193794,1,198,198
3.95336,70.619,0.998027,0.310431,0.296652,0.3675,0.194804,1,199,199
4.00569,68.6139,1.01444,0.292841,0.292807,0.339908,0.195785,1,200,200
3.91395,69.6551,1.02728,0.292294,0.271029,0.313662,0.190824,1,201,201
4.02173,69.9708,1.04445,0.309846,0.267453,0.290538,0.196367,1,202,202
3.96172,69.4183,0.992075,0.295587,0.293702,0.339095,0.193131,1,203,203
3.96513,70.1679,1.07044,0.311207,0.289138,0.338903,0.193636,1,204,204
4.05789,68.09,1.00971,0.289063,0.291505,0.362317,0.195021,1,205,205
4.02831,68.6718,1.04159,0.293404,0.30242,0.397803,0.193262,1,206,206
4.10895,70.9104,1.04083,0.286788,0.277036,0.356369,0.191074,1,207,207
4.05703,69.5913,1.03035,0.280534,0.345726,0.317289,0.193019,1,208,208
4.00613,68.9033,1.04924,0.307584,0.239279,0.360814,0.190639,1,209,209
4.06514,71.756,1.11752,0.309481,0.260044,0.320141,0.19548,1,210,210
4.07725,69.4304,1.03122,0.288781,0.250867,0.328769,0.189109,1,211,211
4.16937,69.0949,0.997331,0.28568,0.279142,0.335219,0.194612,1,212,212
4.0991,68.3785,1.005,0.266056,0.277755,0.351168,0.189611,1,213,213
4.1433,69.9325,1.01657,0.27435,0.280307,0.337019,0.188637,1,214,214
4.14144,69.849,1.02731,0.287868,0.252385,0.291609,0.195673,1,215,215
4.18117,70.1577,1.00318,0.309663,0.275782,0.264561,0.193158,1,216,216
4.03934,71.4995,1.01252,0.282123,0.285524,0.341032,0.19558,1,217,217
3.96783,72.7951,0.975082,0.285484,0.263672,0.329903,0.193125,1,218,218
3.95121,73.1956,0.969808,0.303145,0.253916,0.328104,0.195539,1,219,219
3.92852,71.1851,0.953286,0.292371,0.237914,0.333738,0.190113,1,220,220
3.9526,71.1716,1.01846,0.284888,0.271448,0.357532,0.200384,1,221,221
3.99869,71.6599,1.02577,0.297845,0.27702,0.339565,0.187549,1,222,222
4.1257,70.8475,1.0191,0.324587,0.251604,0.333171,0.183953,1,223,223
4.18678,70.8868,1.03554,0.317716,0.251895,0.355164,0.198133,1,224,224
4.16382,72.7735,1.04304,0.314799,0.297723,0.296114,0.192407,1,225,225
4.15179,72.7417,1.02194,0.317386,0.311106,0.297865,0.198079,1,226,226
4.14076,73.558,1.00781,0.302303,0.342529,0.379919,0.191716,1,227,227
4.08154,71.6438,0.952439,0.298859,0.321379,0.334944,0.196235,1,228,228
4.02851,73.372,1.07548,0.311286,0.319803,0.305829,0.192038,1,229,229
3.93034,69.6855,1.0184,0.263568,0.300635,0.32907,0.192104,1,230,230
4.10985,71.5157,0.960634,0.277479,0.238933,0.359676,0.201843,1,231,231
4.01538,69.0619,0.938772,0.265989,0.257146,0.340309,0.18801,1,232,232
4.0566700000000004,69.5044,0.950293,0.274734,0.258504,0.309173,0.192031,1,233,233
4.08551,70.3076,0.961042,0.271519,0.27450600000000003,0.316664,0.193668,1,234,234
4.09924,68.5071,0.967427,0.279077,0.270167,0.317325,0.192446,1,235,235
4.09908,68.9733,0.994288,0.287382,0.259931,0.304693,0.19338,1,236,236
4.01585,69.6579,1.00274,0.299145,0.266554,0.281366,0.194606,1,237,237
3.88998,68.9647,0.972381,0.28302,0.290499,0.345445,0.192688,1,238,238
4.03639,74.2629,1.11721,0.331781,0.26102,0.310518,0.191681,1,239,239
3.98645,68.1824,0.896482,0.332152,0.256027,0.310746,0.19008,1,240,240
4.0651,69.4752,0.908295,0.334108,0.254092,0.327207,0.189144,1,241,241
4.02853,69.8901,1.02123,0.312602,0.26058,0.323404,0.19514599999999999,1,242,242
4.06155,72.1746,0.98026,0.332204,0.245136,0.28585700000000003,0.1952,1,243,243
4.2254,70.9274,1.07471,0.303394,0.279859,0.346331,0.192907,1,244,244
4.20064,70.6284,0.998259,0.297773,0.27852,0.306596,0.195731,1,245,245
4.11101,69.6016,1.05804,0.324751,0.249324,0.31454,0.197166,1,246,246
3.99725,68.8952,0.987407,0.306313,0.261202,0.289121,0.188127,1,247,247
3.97498,69.8738,1.00528,0.272501,0.262663,0.312647,0.196491,1,248,248
3.96748,72.3855,1.03045,0.297685,0.278322,0.340352,0.192373,1,249,249
3.91678,69.4162,0.973796,0.270162,0.298024,0.340751,0.192641,1,250,250
3.83196,70.4683,0.996369,0.29892,0.262266,0.365894,0.195395,1,251,251
3.77057,70.5507,1.01074,0.290317,0.267227,0.337703,0.18771,1,252,252
3.78028,68.8523,1.03677,0.306186,0.285899,0.302491,0.196829,1,253,253
3.75022,70.3815,1.04838,0.303638,0.266672,0.332888,0.192932,1,254,254
3.68684,69.6549,1.02923,0.322136,0.26934,0.419438,0.195513,1,255,255
3.70006,66.9889,0.928403,0.328905,0.272318,0.290421,0.188653,1,256,256
3.76112,67.649,1.02513,0.356427,0.252019,0.338498,0.196572,1,257,257
3.78108,66.5382,1.01639,0.315176,0.307848,0.279219,0.187401,1,258,258
3.77903,67.4365,1.03975,0.303716,0.285668,0.30737,0.204507,1,259,259
3.68031,66.9501,1.06443,0.297055,0.292789,0.331749,0.184955,1,260,260
3.70841,67.519,1.01071,0.295238,0.284335,0.320369,0.18874,1,261,261
3.70984,68.1667,1.06336,0.307321,0.271385,0.320609,0.196034,1,262,262
3.81054,70.5653,1.0235,0.310358,0.261387,0.321684,0.195439,1,263,263
3.95291,71.9466,0.972137,0.313927,0.282235,0.340588,0.198107,1,264,264
3.96838,71.7059,1.04294,0.317128,0.238432,0.314681,0.191304,1,265,265
4.06547,71.6456,0.994129,0.311087,0.282326,0.307996,0.195913,1,266,266
4.03861,72.0313,1.04621,0.315811,0.283631,0.349516,0.198843,1,267,267
4.05039,72.9001,1.04506,0.328364,0.299098,0.327104,0.18633,1,268,268
4.01187,70.6241,0.963968,0.311895,0.269433,0.31987,0.186138,1,269,269
3.98432,69.9423,0.959953,0.296455,0.26659,0.3327,0.188618,1,270,270
3.97802,69.7112,0.999102,0.285399,0.23792,0.324764,0.200104,1,271,271
4.00874,70.084,1.02827,0.276552,0.279735,0.30762,0.192316,1,272,272
4.07257,66.6831,0.978347,0.298876,0.242848,0.329975,0.188039,1,273,273
4.11402,75.3918,1.009,0.277446,0.315189,0.355412,0.189987,1,274,274
4.05446,75.5182,0.9243,0.278661,0.263563,0.395993,0.194405,1,275,275
4.0337,73.7809,0.998769,0.267346,0.271312,0.340632,0.194205,1,276,276
4.07477,72.4937,1.00911,0.274997,0.269052,0.371972,0.194225,1,277,277
4.05119,72.006,1.01529,0.290564,0.269678,0.351922,0.19477,1,278,278
4.03616,69.5643,1.02464,0.3159,0.260786,0.332434,0.194306,1,279,279
4.02108,69.1709,1.00799,0.32237,0.261203,0.311894,0.190873,1,280,280
4.15174,69.5831,0.970967,0.29676400000000003,0.256247,0.361267,0.198092,1,281,281
4.04326,70.7326,1.00875,0.30813,0.273419,0.332725,0.189077,1,282,282
3.94693,69.0192,0.979854,0.31401,0.281407,0.356268,0.198497,1,283,283
4.06303,70.9097,1.01295,0.306847,0.27112000000000003,0.29668,0.191741,1,284,284
4.15294,70.7755,1.03836,0.296861,0.269245,0.32711,0.196842,1,285,285
4.23667,72.3501,1.03986,0.300078,0.249063,0.322418,0.188152,1,286,286
4.16179,72.8804,1.0506,0.288015,0.289206,0.370176,0.200396,1,287,287
4.23048,71.5472,1.0089,0.301988,0.254994,0.297844,0.193914,1,288,288
3.96666,72.3527,1.02667,0.291817,0.287096,0.361608,0.195008,1,289,289
3.87524,68.2963,0.99632,0.297707,0.27889,0.34996,0.192455,1,290,290
3.85807,68.28,0.975433,0.299541,0.262254,0.349823,0.18737,1,291,291
3.85176,68.5726,0.980009,0.300674,0.26326,0.358825,0.190144,1,292,292
3.84564,68.7312,1.02697,0.291901,0.286539,0.35712,0.188872,1,293,293
3.7549,70.6644,1.0362,0.308657,0.252744,0.307772,0.19002,1,294,294
3.77758,70.7759,1.00751,0.312575,0.28181,0.34049,0.194824,1,295,295
3.82391,71.7647,0.998465,0.275927,0.268834,0.347707,0.191274,1,296,296
3.85707,71.4666,0.944862,0.300437,0.239908,0.341983,0.19436,1,297,297
3.91318,70.548,0.981621,0.270444,0.311221,0.310158,0.191223,1,298,298
3.86869,70.9128,0.968217,0.28105,0.249099,0.369673,0.195057,1,299,299
3.97973,67.2279,1.01552,0.268966,0.270908,0.29314,0.197552,1,300,300
3.9055,70.9054,1.02808,0.305984,0.262687,0.349341,0.195754,1,301,301
3.86936,70.9028,1.00004,0.301625,0.303988,0.330834,0.189703,1,302,302
3.95382,70.7475,0.992829,0.280152,0.279413,0.3453,0.196225,1,303,303
3.9269,69.9645,1.00396,0.29941,0.291577,0.312787,0.189095,1,304,304
3.92317,72.0721,1.03138,0.299045,0.277903,0.344909,0.192963,1,305,305
3.89441,69.8563,1.00557,0.29414,0.280489,0.32712,0.195675,1,306,306
3.88641,70.4826,0.95857,0.296941,0.257862,0.347996,0.19189,1,307,307
3.9324,69.65,1.06046,0.299613,0.282797,0.314284,0.193851,1,308,308
3.9904,68.8613,1.02854,0.305649,0.272019,0.306978,0.199336,1,309,309
3.88878,70.1286,1.01259,0.305544,0.271916,0.318741,0.193498,1,310,310
3.92474,69.1444,0.978183,0.298169,0.263861,0.327488,0.190447,1,311,311
3.77918,69.0743,1.02326,0.324608,0.262536,0.323184,0.196957,1,312,312
3.88641,71.4637,1.0527,0.310016,0.272848,0.355909,0.193265,1,313,313
3.79047,71.581,1.00972,0.302129,0.267642,0.340547,0.195943,1,314,314
3.86137,71.5504,0.953531,0.293678,0.261378,0.295914,0.189664,1,315,315
3.78849,70.5953,0.972796,0.288241,0.26641,0.282689,0.191662,1,316,316
3.78457,67.7095,0.976133,0.312296,0.280751,0.357877,0.197417,1,317,317
3.85753,70.22,0.995961,0.299899,0.261731,0.316853,0.184513,1,318,318
3.84698,70.5862,0.982534,0.30896,0.28262,0.342447,0.201233,1,319,319
3.72325,70.3743,0.976805,0.285642,0.264548,0.324347,0.191724,1,320,320
3.7119,66.2169,0.922365,0.290599,0.283336,0.348299,0.19521,1,321,321
3.72417,67.9046,1.00196,0.294157,0.273883,0.334913,0.195894,1,322,322
3.80187,73.0064,1.02265,0.287582,0.243371,0.340112,0.192921,1,323,323
3.82858,68.8963,0.988868,0.326793,0.309794,0.295364,0.188442,1,324,324
3.88209,67.5245,0.989863,0.324269,0.265176,0.422281,0.195427,1,325,325
3.90647,68.9023,1.00427,0.321508,0.332533,0.326528,0.192411,1,326,326
3.89508,68.9356,0.976611,0.324053,0.33518,0.337937,0.191932,1,327,327
3.84425,65.7641,0.954666,0.321609,0.269304,0.367452,0.195694,1,328,328
3.90255,74.2691,1.05909,0.295827,0.31314,0.359579,0.191198,1,329,329
3.88,73.0798,1.02711,0.298557,0.267493,0.354538,0.190089,1,330,330
3.76494,72.4455,0.982026,0.318474,0.292114,0.312024,0.193577,1,331,331
3.91649,70.2532,0.992962,0.331597,0.297769,0.316624,0.191699,1,332,332
3.9814600000000002,70.3654,1.03821,0.334855,0.273036,0.348701,0.192617,1,333,333
4.01595,70.2179,1.02895,0.303473,0.271155,0.33789,0.192254,1,334,334
4.06442,69.2427,0.992192,0.308468,0.272628,0.335451,0.197352,1,335,335
4.06329,71.6766,0.973129,0.300313,0.264952,0.286868,0.188991,1,336,336
4.07907,71.1129,0.991033,0.304772,0.245969,0.341759,0.199671,1,337,337
4.02674,70.0541,0.980057,0.316269,0.273684,0.31355,0.190786,1,338,338
